position,variable,label,block,type,n_valid,n_missing,min,max,mean,value_labels,derivation
1,WPID_RANDOM,Random unique case ID,harmonised,numeric,146910,0,111111977.0,211110930.0,161083053.986291,,As supplied.
2,Wave,World Risk Poll wave,harmonised,numeric,146910,0,3.0,3.0,,1 = 2019 (Wave 1) | 2 = 2021 (Wave 2) | 3 = 2023 (Wave 3) | 4 = 2025 (Wave 4),Constant.
3,Year,Year of fieldwork,harmonised,numeric,146910,0,2023.0,2023.0,2023.0,,Constant.
4,WP5,Gallup country code,harmonised,numeric,146910,0,1.0,198.0,84.704275,,As supplied.
5,Country,Country/area name,harmonised,string,146910,0,,,,,As supplied.
6,COUNTRY_ISO2,Country ISO alpha-2 code,harmonised,string,146910,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
7,COUNTRY_ISO3,Country ISO alpha-3 code,harmonised,string,146910,0,,,,,"Mapped from WP5. Belarus, Rwanda and Turkmenistan added by hand: they appear only in 2019."
8,GlobalRegion,Global region (World Risk Poll report definition),harmonised,numeric,146910,0,1.0,15.0,,1 = Eastern Africa | 2 = Central/Western Africa | 3 = Northern Africa | 4 = Southern Africa | 5 = Latin America & the Caribbean | 6 = Northern America | 7 = Central Asia | 8 = Eastern Asia | 9 = Southeastern Asia | 10 = Southern Asia | 11 = Middle East | 12 = Eastern Europe | 13 = Northern/Western Europe | 14 = Southern Europe | 15 = Australia & New Zealand,As supplied; label wording standardised to the 2025 release.
9,CountryIncomeLevel,Country income group at time of fieldwork (World Bank FY2023-24),harmonised,numeric,146910,0,1.0,9.0,,1 = Low income | 2 = Lower-middle income | 3 = Upper-middle income | 4 = High income | 9 = Not classified,From CountryIncomeLevel2023. Classification contemporaneous with fieldwork.
10,WGT,Within-country survey weight,harmonised,numeric,146910,0,0.083882,5.835323,1.0,,As supplied.
11,PROJWT,Population projection weight (single-year or time-series analysis),harmonised,numeric,146910,0,129.202852,1880805.028363,39251.571399,,As supplied.
12,Age,Age in years,harmonised,numeric,146589,321,15.0,99.0,42.730219,,"Age 100 in the source files is Gallup's don't know/refused code and is set to missing here, matching LRF's own age-band treatment."
13,AgeGroups3,Age - 3 bands,harmonised,numeric,146589,321,1.0,3.0,,1 = 15-29 | 2 = 30-49 | 3 = 50 and over,Derived from Age. Identical banding in all four waves.
14,AgeGroups4,Age - 4 bands,harmonised,numeric,146589,321,1.0,4.0,,1 = 15-29 | 2 = 30-49 | 3 = 50-64 | 4 = 65 and over,Derived from Age. Identical banding in all four waves.
15,AgeGroups5,Age - 5 bands,harmonised,numeric,146589,321,1.0,5.0,,1 = 15-24 | 2 = 25-34 | 3 = 35-49 | 4 = 50-64 | 5 = 65 and over,Derived from Age. Identical banding in all four waves.
16,Gender,Gender,harmonised,numeric,146910,0,1.0,2.0,,1 = Male | 2 = Female,As supplied.
17,Education,Education level,harmonised,numeric,146910,0,1.0,9.0,,1 = Primary or less (up to 8 years) | 2 = Secondary (9-15 years) | 3 = Tertiary (16 years or more) | 9 = DK/Refused,Codes 1-3 as supplied; don't know and refused collapsed to 9.
18,Urbanicity,Urban/rural - 6 categories,harmonised,numeric,146910,0,1.0,9.0,,1 = A rural area or on a farm | 2 = A small town or village | 3 = A large city | 6 = A suburb of a large city | 9 = DK/Refused,As supplied (6-category). Don't know and refused collapsed to 9.
19,Urbanicity2,Urban/rural - 2 categories,harmonised,numeric,146910,0,1.0,9.0,,1 = Rural area or small town | 2 = Large city or suburb | 9 = DK/Refused,"Collapsed from Urbanicity: rural area and small town to 1, large city and suburb to 2."
20,EMP_2010,Employment status,harmonised,numeric,146910,0,1.0,6.0,,"1 = Employed full time for an employer | 2 = Employed full time for self | 3 = Employed part time, does not want full time | 4 = Unemployed | 5 = Employed part time, wants full time | 6 = Out of workforce",As supplied.
21,INCOME_5,Per capita income quintile,harmonised,numeric,146910,0,1.0,5.0,,1 = Poorest 20% | 2 = Second 20% | 3 = Middle 20% | 4 = Fourth 20% | 5 = Richest 20%,As supplied.
22,HouseholdSize,Household size (Residents aged 15+ in household),harmonised,numeric,146910,0,1.0,9.0,,1 = 1-2 people | 2 = 3-4 people | 3 = 5-9 people | 4 = 10 or more | 9 = DK/Refused,Codes 1-4 as supplied; don't know and refused collapsed to 9. Note the definition is not identical across waves: see the wave notes.
23,ChildrenInHousehold,Children under 15 in household,harmonised,numeric,146910,0,0.0,9.0,,0 = None | 1 = One | 2 = Two | 3 = Three | 4 = Four | 5 = Five or more | 9 = DK/Refused,As supplied.
24,worry_score,"Worry score, 5 common items, 0-1 (comparable across all waves)",harmonised,numeric,141624,5286,0.0,1.0,0.428936,,"Mean of the five worry items asked in identical form in every wave (food, drinking water, violent crime, severe weather, mental health), scored very worried 1, somewhat worried 0.5, not worried 0. All five must be answered."
25,worry_score_core7,"Worry score, 7 items, 0-1 (comparable 2021-2025)",harmonised,numeric,140987,5923,0.0,1.0,0.442741,,"As worry_score plus worry about traffic accidents and about your own work. The six items put to everyone must be answered; the work item, asked of workers only, counts where present."
26,worry_index_published,Worry index as published by LRF for this wave,harmonised,numeric,140627,6283,0.0,1.0,0.439435,,"Q4_RMw_maxmin as published for wave 3: Rasch-weighted, min-max scaled, over the seven 2023 worry items. Not comparable across waves: both the item set and the construction change. Use worry_score for trends."
27,experience_score,"Experience score, 5 common items, any experience, 0-1 (comparable across waves)",harmonised,numeric,143028,3882,0.0,1.0,0.230895,,"Proportion of the five common items on which the respondent reports harm in the past two years. Counts personally experienced, knows someone who has, and both. This matches LRF's own harm_*_trended recode and is the series that lines up with 2019. All five items must be answered."
28,experience_score_self,"Experience score, 5 common items, personally experienced, 0-1",harmonised,numeric,143028,3882,0.0,1.0,0.084635,,"Counts personally experienced and both, excluding knows someone who has. Comparable 2021-2025 and consistent with the published wave 3 experience index. Against 2019 it drops sharply, because the added knows-someone option pulls self-reports out of the personal category."
29,experience_score_core7,"Experience score, 7 items, any experience, 0-1 (comparable 2021-2025)",harmonised,numeric,142026,4884,0.0,1.0,0.249446,,As experience_score plus harm from traffic accidents and from work. All seven items must be answered.
30,experience_index_published,Experience index as published by LRF for this wave,harmonised,numeric,142026,4884,-0.0,1.0,0.091103,,"Q5_RMw_maxmin as published for wave 3: Rasch-weighted, min-max scaled, personally-experienced definition."
31,worry_exp_gap,worry_score minus experience_score,harmonised,numeric,138817,8093,-1.0,1.0,0.195245,,"worry_score minus experience_score, both on the five common items."
32,resilience_index,"Resilience Index, 0-1",harmonised,numeric,145786,1124,0.0,1.0,0.551724,,As supplied (0-1).
33,resilience_index_100,"Resilience Index, 0-100",harmonised,numeric,145786,1124,0.0,100.0,55.172433,,resilience_index multiplied by 100.
34,resilience_idv,"Resilience: individual dimension, 0-1",harmonised,numeric,146863,47,0.0,1.0,0.479341,,As supplied (0-1).
35,resilience_hhl,"Resilience: household dimension, 0-1",harmonised,numeric,146901,9,0.0,1.0,0.548946,,As supplied (0-1).
36,resilience_com,"Resilience: community dimension, 0-1",harmonised,numeric,146908,2,0.0,1.0,0.580549,,As supplied (0-1).
37,resilience_soc,"Resilience: society dimension, 0-1",harmonised,numeric,145841,1069,0.0,1.0,0.601285,,As supplied (0-1).
38,WP1223,Marital Status,wave-specific,numeric,146910,0,1.0,8.0,,1 = Single/Never been married | 2 = Married | 3 = Separated | 4 = Divorced | 5 = Widowed | 6 = (DK) | 7 = (Refused) | 8 = Domestic partner,As supplied in the source file for this wave.
39,WP20711,"Feel More, Less or About as Safe Compared With Five Years Ago",wave-specific,numeric,146910,0,1.0,99.0,,1 = More safe | 2 = Less safe | 3 = About as safe | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
40,WP22331,Greatest Source of Risk to Safety in Your Daily Life (Coded),wave-specific,numeric,146910,0,1.0,99.0,,"1 = TRANSPORTATION: Road-related accidents/injuries (such as using a bicycle, car, motorbike, truck, van, bus, | 2 = TRANSPORTATION: Other transportation-related accidents/injuries (such as subway, train, plane, boat, etc.) | 3 = CRIME/VIOLENCE (including domestic violence, violence outside the home, and other crimes) | 4 = WAR/TERRORISM | 5 = HEALTH: personal health condition/illness | 6 = HEALTH: drugs, alcohol, smoking | 7 = HEALTH: COVID-19/Coronavirus related | 8 = HEALTH: Mental stress/exhaustion/falling/tripping | 9 = FINANCIAL: not having enough money to pay for the things you need | 10 = ECONOMY: Economy-related, such as unemployment, losing your job, high prices | 11 = POLITICS: Politics/political situation/corruption | 12 = TECHNOLOGY: Internet/technology related risks | 13 = WATER: Water supply or drinking unclean water | 14 = FOOD-RELATED: eating unsafe or contaminated food | 15 = FOOD-RELATED: insufficient or lack of food (hunger), not enough money for food | 16 = COOKING or other household accidents/injuries | 17 = WORK: Work-related accidents: physical injuries | 18 = ENVIRONMENT: Pollution | 19 = ENVIRONMENT: Climate change or severe weather-related events, such as floods, drought, wildfires, etc. | 20 = ENVIRONMENT: Non-weather-related disasters, such as earthquakes or volcanoes | 21 = DROWNING | 22 = Other | 23 = Nothing/No risks | 98 = Don’t know | 99 = Refused",As supplied in the source file for this wave.
41,WP20719,Climate Change a Threat to Country in Next 20 Years,wave-specific,numeric,146910,0,1.0,99.0,,1 = Very serious threat | 2 = Somewhat serious threat | 3 = Not a threat at all | 98 = Dont know | 99 = (Refused),As supplied in the source file for this wave.
42,WP20720,Worried Food You Eat Could Cause Serious Harm,wave-specific,numeric,146910,0,1.0,99.0,,1 = Very worried | 2 = Somewhat worried | 3 = Not worried | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
43,WP20721,Worried Water You Drink Could Cause Serious Harm,wave-specific,numeric,146910,0,1.0,99.0,,1 = Very worried | 2 = Somewhat worried | 3 = Not worried | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
44,WP20722,Worried Violent Crime Could Cause Serious Harm,wave-specific,numeric,146910,0,1.0,99.0,,1 = Very worried | 2 = Somewhat worried | 3 = Not worried | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
45,WP20723,Worried Severe Weather Events Could Cause Serious Harm,wave-specific,numeric,146910,0,1.0,99.0,,1 = Very worried | 2 = Somewhat worried | 3 = Not worried | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
46,WP22213,Worried Traffic or Roadside Accident Could Cause Serious Harm,wave-specific,numeric,146910,0,1.0,99.0,,1 = Very worried | 2 = Somewhat worried | 3 = Not worried | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
47,WP20726,Worried Mental Health Issues Could Cause Serious Harm,wave-specific,numeric,146910,0,1.0,99.0,,1 = Very worried | 2 = Somewhat worried | 3 = Not worried | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
48,WP22214,Worried The Work You Do Could Cause Serious Harm,wave-specific,numeric,87190,59720,1.0,99.0,,1 = Very worried | 2 = Somewhat worried | 3 = Not worried | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
49,WP22442,Experienced Harm in Past Two Years: Eating Food (You/Someone You Know),wave-specific,numeric,146910,0,1.0,99.0,,"1 = Yes, personally experienced | 2 = Yes, know someone who has experienced | 3 = Both | 4 = No | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
50,WP22443,Experienced Harm in Past Two Years: Drinking Water (You/Someone You Know),wave-specific,numeric,146910,0,1.0,99.0,,"1 = Yes, personally experienced | 2 = Yes, know someone who has experienced | 3 = Both | 4 = No | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
51,WP22444,Experienced Harm in Past Two Years: Violent Crime (You/Someone You Know),wave-specific,numeric,146910,0,1.0,99.0,,"1 = Yes, personally experienced | 2 = Yes, know someone who has experienced | 3 = Both | 4 = No | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
52,WP22445,Experienced Harm in Past Two Years: Severe Weather Events (You/Someone You Know),wave-specific,numeric,146910,0,1.0,99.0,,"1 = Yes, personally experienced | 2 = Yes, know someone who has experienced | 3 = Both | 4 = No | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
53,WP22446,Experienced Harm in Past Two Years: Traffic/Roadside Accident (You/Someone You Know),wave-specific,numeric,146910,0,1.0,99.0,,"1 = Yes, personally experienced | 2 = Yes, know someone who has experienced | 3 = Both | 4 = No | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
54,WP22447,Experienced Harm in Past Two Years: Mental Health Issues (You/Someone You Know),wave-specific,numeric,146910,0,1.0,99.0,,"1 = Yes, personally experienced | 2 = Yes, know someone who has experienced | 3 = Both | 4 = No | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
55,WP22448,Experienced Harm in Past Two Years: Work (You/Someone You Know),wave-specific,numeric,146910,0,1.0,99.0,,"1 = Yes, personally experienced | 2 = Yes, know someone who has experienced | 3 = Both | 4 = No | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
56,WP23335,Told Someone About Harm Experienced at Work,wave-specific,numeric,14206,132704,1.0,99.0,,1 = Yes | 2 = No | 97 = (Does not apply) | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
57,WP23336,Last Time Employed or Self-Employed,wave-specific,numeric,146910,0,1.0,99.0,,1 = Within the last two years | 2 = More than two years ago | 3 = Never | 4 = (Currently working for employer or family or self) | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
58,WP23337,Received Health or Safety Training About Your Work,wave-specific,numeric,123038,23872,1.0,99.0,,1 = Yes | 2 = No | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
59,WP23338,Received Health or Safety Training About Your Work in Past Two Years,wave-specific,numeric,41773,105137,1.0,99.0,,1 = Yes | 2 = No | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
60,WP23341,Most Common Type of Material in Household Waste,wave-specific,numeric,146910,0,1.0,99.0,,"1 = PLASTIC bottles, plastic wrapping, any plastic product, Nylon | 2 = FOOD waste, food peel, organic food-related waste, wet or dry food waste, cooked or uncooked food waste | 3 = Cardboard, paper, paper-based packaging | 4 = Cans, metals | 5 = Household dust, leaves or branches/twigs, mud, soil | 6 = ASH from burning wood or coal | 7 = GLASS containers or glass products | 8 = Other | 98 = (DK) | 99 = (Refused)",As supplied in the source file for this wave.
61,WP23342,Household Waste Is Separated,wave-specific,numeric,146910,0,1.0,99.0,,1 = Yes | 2 = No | 3 = (Sometimes) | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
62,WP23343,What Happens to Household Waste Once Taken Outside of Home,wave-specific,numeric,146910,0,1.0,99.0,,1 = Someone from the household burns it | 2 = A [insert country-specific word for municipal/county/council/city/township/etc.] truck comes to collect it/the gover | 3 = Someone from a community group comes to collect it | 4 = Someone from a private company comes to collect it on foot/bike/rickshaw/truck | 5 = Someone from the household takes it to the trash/rubbish/landfill/tip | 6 = Someone from the household throws it outside/in the street at the front or back of the home | 96 = Other | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
63,WP22228,How Long Household Could Cover Basic Needs If Income Was Lost,wave-specific,numeric,146910,0,1.0,99.0,,1 = Less than a month | 2 = A month or more | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
64,WP22229,Household Could Cover Basic Needs If Income Was Lost: Weeks,wave-specific,numeric,48166,98744,1.0,99.0,,1 = Less than a week | 2 = Between one and two weeks | 3 = Between two and four weeks | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
65,WP22230,Household Could Cover Basic Needs If Income Was Lost: Months,wave-specific,numeric,87311,59599,1.0,99.0,,1 = Around a month | 2 = Two months | 3 = Three months | 4 = Four months or more | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
66,WP22231_ALL,Government of country cares about you and your wellbeing (combined version),wave-specific,numeric,140884,6026,1.0,99.0,,1 = A lot | 2 = Somewhat | 3 = Not at all | 99 = DK/Refused,As supplied in the source file for this wave.
67,WP22231,Government of (Country) Cares About You and Your Wellbeing,wave-specific,numeric,138884,8026,1.0,99.0,,1 = A lot | 2 = Somewhat | 3 = Not at all | 98 = (DK) | 99 = (Refused),As supplied in the source file for this wave.
