finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
E01,i,Preface,"People surveyed ('150,000 people')",150000,count,5000,text,N,,"Respondents: '150,000' is a rounded figure; the data have 154,195. Tolerance 5,000 covers the rounding."
E02,i,Preface,Countries and territories surveyed,142,count,,text,N,,
E03,ii,Foreword,"People surveyed ('some 150,000 persons')",150000,count,5000,text,N,,"Respondents: '150,000' is a rounded figure; the data have 154,195. Tolerance 5,000 covers the rounding."
E04,ii,Foreword,Countries surveyed,142,count,,text,N,,
E05,1,Executive Summary,"People surveyed ('150,000 people')",150000,count,5000,text,N,,"Respondents: '150,000' is a rounded figure; the data have 154,195. Tolerance 5,000 covers the rounding."
E06,1,Executive Summary,Countries and territories surveyed,142,count,,text,N,,
E07,2,Executive Summary,Said 'no risk' when asked for the greatest source of risk to their safety (first response),19,pct,,text,N,,
E08,2,Executive Summary,Cited only one risk: 'no risk' as the second response,21,pct,,text,N,,
E09,3,Executive Summary,Trust the government food safety agency most for food safety information,15,pct,,text,N,,
E10,3,Executive Summary,Low-income economies: look to a famous person for food safety information ('about half'),50,pct,5,text,N,,'About half of people in low-income economies sought food safety information from celebrities or religious leaders'. Chapter 4 (page 73) gives 55% famous people and 50% religious leaders. Tolerance 5 for 'about half'.
E11,3,Executive Summary,Low-income economies: look to local religious leaders for food safety information ('about half'),50,pct,5,text,N,,See E10.
E12,4,Executive Summary,Women who felt less safe than five years ago,27,pct,,text,N,,
E13_MWI,4,Executive Summary,Working women in Malawi who said physical harassment or violence is a risk to their safety at work ('over two-thirds'),67,pct,8,text,N,,Printed as 'over two-thirds'. Tolerance 8 covers values from two-thirds to about three-quarters.
E13_SWZ,4,Executive Summary,Working women in Swaziland who said physical harassment or violence is a risk to their safety at work ('over two-thirds'),67,pct,8,text,N,,Printed as 'over two-thirds'. Tolerance 8 covers values from two-thirds to about three-quarters.
E13_NPL,4,Executive Summary,Working women in Nepal who said physical harassment or violence is a risk to their safety at work ('over two-thirds'),67,pct,8,text,N,,Printed as 'over two-thirds'. Tolerance 8 covers values from two-thirds to about three-quarters.
E14_FIN,4,Executive Summary,Working women in Finland who said physical harassment or violence is a risk to their safety at work,42,pct,,text,N,,
E14_FRA,4,Executive Summary,Working women in France who said physical harassment or violence is a risk to their safety at work,38,pct,,text,N,,
E14_SWE,4,Executive Summary,Working women in Sweden who said physical harassment or violence is a risk to their safety at work,32,pct,,text,N,,
E14_AUS,4,Executive Summary,Working women in Australia who said physical harassment or violence is a risk to their safety at work,32,pct,,text,N,,
E15,4,Executive Summary,Zambia: working women who experienced harm from physical harassment or violence at work,47,pct,,text,N,,
E16,4,Executive Summary,Country ranked first for working women's experience of violence and harassment at work,ZMB,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E17,4,Executive Summary,Australia's rank for working women's experience of violence and harassment at work,6,rank,0,text,N,,
E18,4,Executive Summary,Australia: working women who experienced violence and harassment at work,39,pct,,text,N,,
E19,4,Executive Summary,Australia: working men who experienced violence and harassment at work,24,pct,,text,N,,
E20,4,Executive Summary,Workers who have ever been seriously injured while working,19,pct,,text,N,,
E21,4,Executive Summary,Countries where more than 50% of workers have been seriously injured while working,7,count,0,text,N,,
E22,5,Executive Summary,Experienced serious harm from the food they eat in the past two years,17,pct,,text,N,,
E23,5,Executive Summary,People who experienced serious harm from food ('equivalent to 1 billion people'),1000000000,count,50000000,text,N,,"Population counts are the sum of PROJWT (population projection weight) over the respondents concerned. Tolerance 50 million covers rounding to '1 billion'. The report's counts imply about 5.8 billion adults; PROJWT sums to 5.36 billion, giving 930 million."
E24,5,Executive Summary,Experienced serious harm from the water they drink in the past two years,14,pct,,text,N,,
E25,5,Executive Summary,People who experienced serious harm from water ('roughly 823 million people'),823000000,count,10000000,text,N,,Population counts are the sum of PROJWT (population projection weight) over the respondents concerned. The report's counts imply about 5.8 billion adults (823 million / 14.2%); PROJWT sums to 5.36 billion.
E26_LBR,5,Executive Summary,Liberia: experienced serious harm from food (top three countries),52,pct,,text,N,,
E26_ZMB,5,Executive Summary,Zambia: experienced serious harm from food (top three countries),51,pct,,text,N,,
E26_MOZ,5,Executive Summary,Mozambique: experienced serious harm from food (top three countries),45,pct,,text,N,,
E27,5,Executive Summary,Genetically modified food more likely to harm than help in the next 20 years,48,pct,,text,N,,
E28,5,Executive Summary,Internet users who worry about at least one of the three internet risks,71,pct,,text,N,,"Base: internet users asked the three worry items (bullying, false information, fraud). With PROJWT the data give 68%. Alternatives: excluding DK 69%, WGT (country sample sizes) 70.5%, unweighted 71.3%, mean of country percentages 72%."
E29,5,Executive Summary,Internet users who worry about receiving false information online,57,pct,,text,N,,
E30,5,Executive Summary,Internet users who worry about online fraud,45,pct,,text,N,,
E31_PRT,5,Executive Summary,Portugal: internet users who worry about online fraud,78,pct,,text,N,,
E31_FRA,5,Executive Summary,France: internet users who worry about online fraud,74,pct,,text,N,,
E31_ESP,5,Executive Summary,Spain: internet users who worry about online fraud,71,pct,,text,N,,
E31_GBR,5,Executive Summary,U.K.: internet users who worry about online fraud,69,pct,,text,N,,
E31_ITA,5,Executive Summary,Italy: internet users who worry about online fraud,67,pct,,text,N,,
E32,6,Executive Summary,Climate change a very or somewhat serious threat in the next 20 years ('almost 70%'),70,pct,2,text,N,,Printed as 'almost 70%'. Tolerance 2.
E33,6,Executive Summary,China: climate change a very serious threat,23,pct,,text,N,,
E34,6,Executive Summary,U.S.: climate change not a threat at all,21,pct,,text,N,,
E35,6,Executive Summary,Countries and territories ranked by the Worry and Experience of Harm indices,142,count,,text,N,,
E36_1,6,Executive Summary,'Over-worriers': country with the 1st largest gap between the Worry Index and the Experience of Harm Index,MNG,text,,text,N,,Text finding: ISO3 code of the country at this rank. Gap = country mean of worry_index_published minus country mean of experience_index_published.
E36_2,6,Executive Summary,'Over-worriers': country with the 2nd largest gap between the Worry Index and the Experience of Harm Index,MMR,text,,text,N,,Text finding: ISO3 code of the country at this rank. Gap = country mean of worry_index_published minus country mean of experience_index_published.
E36_3,6,Executive Summary,'Over-worriers': country with the 3rd largest gap between the Worry Index and the Experience of Harm Index,CYP,text,,text,N,,Text finding: ISO3 code of the country at this rank. Gap = country mean of worry_index_published minus country mean of experience_index_published.
E36_4,6,Executive Summary,'Over-worriers': country with the 4th largest gap between the Worry Index and the Experience of Harm Index,CHL,text,,text,N,,Text finding: ISO3 code of the country at this rank. Gap = country mean of worry_index_published minus country mean of experience_index_published.
E36_5,6,Executive Summary,'Over-worriers': country with the 5th largest gap between the Worry Index and the Experience of Harm Index,KOR,text,,text,N,,Text finding: ISO3 code of the country at this rank. Gap = country mean of worry_index_published minus country mean of experience_index_published.
E37,6,Executive Summary,Country with the smallest gap between the Worry and Experience of Harm indices,SWE,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E38_1,6,Executive Summary,Worry Index: country ranked 1,MOZ,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E38_2,6,Executive Summary,Worry Index: country ranked 2,GIN,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E38_3,6,Executive Summary,Worry Index: country ranked 3,MWI,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E38_4,6,Executive Summary,Worry Index: country ranked 4,GAB,text,,text,N,,Text finding: ISO3 code of the country at this rank. Gabon and Lesotho differ in the fifth decimal.
E38_5,6,Executive Summary,Worry Index: country ranked 5,LSO,text,,text,N,,Text finding: ISO3 code of the country at this rank. Gabon and Lesotho differ in the fifth decimal.
E39_1,6,Executive Summary,Experience of Harm Index: country ranked 1,LBR,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E39_2,6,Executive Summary,Experience of Harm Index: country ranked 2,ZMB,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E39_3,6,Executive Summary,Experience of Harm Index: country ranked 3,MOZ,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E39_4,6,Executive Summary,Experience of Harm Index: country ranked 4,MWI,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E40,7,Executive Summary,"Countries where people did not trust their government to provide critical basic infrastructure (Government Safety Performance Index below 50), % of countries",25,pct,,text,N,,"GSPI (Chapter 9, page 164): mean of three yes = 1 / other = 0 items (L16A-C: government does a good job keeping food, water and power lines safe) x 100, by country. Page 165 gives 35 of 140 countries below 50."
E41_1,7,Executive Summary,Government trusted least to provide critical basic infrastructure: rank 1 (lowest GSPI),YEM,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E41_2,7,Executive Summary,Government trusted least to provide critical basic infrastructure: rank 2 (lowest GSPI),AFG,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E41_3,7,Executive Summary,Government trusted least to provide critical basic infrastructure: rank 3 (lowest GSPI),LBN,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E41_4,7,Executive Summary,Government trusted least to provide critical basic infrastructure: rank 4 (lowest GSPI),IRQ,text,,text,N,,Text finding: ISO3 code of the country at this rank.
E42_1,7,Executive Summary,Government with the best perceived record on critical basic infrastructure: rank 1 (highest GSPI),SGP,text,,text,N,,Text finding: ISO3 code of the country at this rank. Both score 93 on page 165.
E42_2,7,Executive Summary,Government with the best perceived record on critical basic infrastructure: rank 2 (highest GSPI),ARE,text,,text,N,,Text finding: ISO3 code of the country at this rank. Both score 93 on page 165.
I01,9,Introduction,Countries and territories surveyed in 2019,142,count,,text,N,,
X1_01,13,Chapter 1,Key finding: felt safer than five years ago,36,pct,,text,N,,
X1_02,13,Chapter 1,Key finding: felt less safe than five years ago,25,pct,,text,N,,
X1_03,13,Chapter 1,Key finding: felt about as safe as five years ago,36,pct,,text,N,,
X1_04,13,Chapter 1,Key finding: the word 'risk' makes them think more of danger,60,pct,,text,N,,
X1_05,13,Chapter 1,Key finding: the word 'risk' makes them think more of opportunity,21,pct,,text,N,,
X1_06,15,Chapter 1,Felt safer in 2019 than five years before,36,pct,,text,N,,
X1_07,15,Chapter 1,Felt less safe in 2019 than five years before,25,pct,,text,N,,
C1_1_more,15,Chart 1.1,"Safety compared with five years ago, global: % more safe",36,pct,,chart,N,,
C1_1_same,15,Chart 1.1,"Safety compared with five years ago, global: % about as safe",36,pct,,chart,N,,
C1_1_less,15,Chart 1.1,"Safety compared with five years ago, global: % less safe",25,pct,,chart,N,,
C1_1_dk,15,Chart 1.1,"Safety compared with five years ago, global: % don't know/refused",3,pct,,chart,N,,
C1_2_low_more,16,Chart 1.2,"Safety compared with five years ago, by country income group: Low income, % more safe",37,pct,,chart,N,,
C1_2_low_same,16,Chart 1.2,"Safety compared with five years ago, by country income group: Low income, % about as safe",21,pct,,chart,N,,
C1_2_low_less,16,Chart 1.2,"Safety compared with five years ago, by country income group: Low income, % less safe",40,pct,,chart,N,,
C1_2_lower_middle_more,16,Chart 1.2,"Safety compared with five years ago, by country income group: Lower-middle income, % more safe",36,pct,,chart,N,,
C1_2_lower_middle_same,16,Chart 1.2,"Safety compared with five years ago, by country income group: Lower-middle income, % about as safe",35,pct,,chart,N,,
C1_2_lower_middle_less,16,Chart 1.2,"Safety compared with five years ago, by country income group: Lower-middle income, % less safe",26,pct,,chart,N,,
C1_2_upper_middle_more,16,Chart 1.2,"Safety compared with five years ago, by country income group: Upper-middle income, % more safe",47,pct,,chart,N,,
C1_2_upper_middle_same,16,Chart 1.2,"Safety compared with five years ago, by country income group: Upper-middle income, % about as safe",30,pct,,chart,N,,
C1_2_upper_middle_less,16,Chart 1.2,"Safety compared with five years ago, by country income group: Upper-middle income, % less safe",20,pct,,chart,N,,
C1_2_high_more,16,Chart 1.2,"Safety compared with five years ago, by country income group: High income, % more safe",15,pct,,chart,N,,
C1_2_high_same,16,Chart 1.2,"Safety compared with five years ago, by country income group: High income, % about as safe",56,pct,,chart,N,,
C1_2_high_less,16,Chart 1.2,"Safety compared with five years ago, by country income group: High income, % less safe",28,pct,,chart,N,,
X1_08,16,Chapter 1,Upper-middle-income economies: felt more safe,47,pct,,text,N,,
X1_09,16,Chapter 1,"High-income economies, said it is a bad time to find a job: felt less safe",41,pct,,text,Y,WP89,
X1_10,16,Chapter 1,"High-income economies, said it is a good time to find a job: felt less safe",22,pct,,text,Y,WP89,
X1_11,16,Chapter 1,China's share of the upper-middle-income group's population (footnote 16),56,pct,,text,N,,"PROJWT share of the upper-middle-income group. The data give 54.9%. The share depends on which countries are in the group: the report's group had 39 countries, the data's 43 (X1_12). Not explained."
X1_12,16,Chapter 1,Countries in the upper-middle-income group (footnote 16: '39-country group'),39,count,0,text,N,,The data classify 43 countries as upper-middle income (World Bank FY2019-20); the report's group had 39.
X1_13,16,Chapter 1,Upper-middle-income group excluding China: felt more safe (footnote 16),24,pct,,text,N,,
C1_3_latin_america_more,17,Chart 1.3,"Safety compared with five years ago, by region: Latin America & Caribbean, % more safe",22,pct,,chart,N,,
C1_3_latin_america_same,17,Chart 1.3,"Safety compared with five years ago, by region: Latin America & Caribbean, % about as safe",25,pct,,chart,N,,
C1_3_latin_america_less,17,Chart 1.3,"Safety compared with five years ago, by region: Latin America & Caribbean, % less safe",52,pct,,chart,N,,
C1_3_southern_africa_more,17,Chart 1.3,"Safety compared with five years ago, by region: Southern Africa, % more safe",31,pct,,chart,N,,
C1_3_southern_africa_same,17,Chart 1.3,"Safety compared with five years ago, by region: Southern Africa, % about as safe",18,pct,,chart,N,,
C1_3_southern_africa_less,17,Chart 1.3,"Safety compared with five years ago, by region: Southern Africa, % less safe",51,pct,,chart,N,,
C1_3_east_africa_more,17,Chart 1.3,"Safety compared with five years ago, by region: Eastern Africa, % more safe",41,pct,,chart,N,,
C1_3_east_africa_same,17,Chart 1.3,"Safety compared with five years ago, by region: Eastern Africa, % about as safe",18,pct,,chart,N,,
