finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,"4, 5, 10",Executive Summary,Respondents interviewed in 2021,125911,count,,text,N,,"Page 4 says 'more than 125,000 interviews'; pages 5 and 10 give 125,911."
X02,"4, 5, 10",Executive Summary,Countries and territories surveyed in 2021,121,count,,text,N,,
X03,"5, 10",Executive Summary,Countries and territories surveyed in 2019,142,count,,text,N,,
X04,10,Introduction,"Countries surveyed in 2021 but not in 2019 (Iceland, Czech Republic)",2,count,,text,N,,
X05,"12, 46",Chapter 1,Countries and territories surveyed in both 2019 and 2021,119,count,,text,N,,
X06_less_2019,"5, 11, 12",Executive Summary,"Feel safe compared with five years ago, global (text): % less safe, 2019",30,pct,,text,N,,"Trend base: the 119 countries surveyed in both years, excluding China (not asked the safety question in 2021) in both years."
X06_less_2021,"5, 11, 12",Executive Summary,"Feel safe compared with five years ago, global (text): % less safe, 2021",34,pct,,text,N,,"Trend base: the 119 countries surveyed in both years, excluding China (not asked the safety question in 2021) in both years."
X06_more_2021,"5, 11, 12",Executive Summary,"Feel safe compared with five years ago, global (text): % more safe, 2021",27,pct,,text,N,,"Trend base: the 119 countries surveyed in both years, excluding China (not asked the safety question in 2021) in both years."
X06_more_change,"5, 11, 12",Executive Summary,"Feel safe compared with five years ago, global (text): change in % more safe, 2019 to 2021 ('down one point')",-1,pct,,text,N,,"Trend base: the 119 countries surveyed in both years, excluding China (not asked the safety question in 2021) in both years."
X07_covid,"5, 6, 10, 11, 14, 31, 32",Executive Summary,"Greatest source of risk to safety, 2021 (text): % Covid-19",7,pct,,text,N,,
X07_road,"5, 11, 14",Executive Summary,"Greatest source of risk to safety, 2021 (text): % road-related accidents",13,pct,,text,N,,
X07_crime,"5, 11, 14",Executive Summary,"Greatest source of risk to safety, 2021 (text): % crime and violence",12,pct,,text,N,,
X07_health,"5, 11, 14",Executive Summary,"Greatest source of risk to safety, 2021 (text): % personal health (non-Covid-19)",10,pct,,text,N,,
X08,"5, 10, 11",Executive Summary,"Rank of Covid-19 among named sources of risk, 2021 ('fourth most commonly named')",4,rank,,text,N,,"Ranked among named risks, excluding 'other', 'nothing/no risks', don't know and refused."
X09_health_2019,14,Chapter 1,"Greatest source of risk, 2019 vs 2021 (text): % personal health, 2019",9,pct,,text,N,,"Trend base: the 119 countries surveyed in both years, excluding China (not asked the greatest-risk question in 2021) in both years."
X09_none_2019,14,Chapter 1,"Greatest source of risk, 2019 vs 2021 (text): % nothing/no risks, 2019",15,pct,,text,N,,"Trend base: the 119 countries surveyed in both years, excluding China (not asked the greatest-risk question in 2021) in both years."
X09_none_2021,14,Chapter 1,"Greatest source of risk, 2019 vs 2021 (text): % nothing/no risks, 2021",7,pct,,text,N,,"Trend base: the 119 countries surveyed in both years, excluding China (not asked the greatest-risk question in 2021) in both years."
X10_covid,"6, 31, 32",Executive Summary,"Aged 65 and older, greatest source of risk (text): % Covid-19",5,pct,,text,N,,
X10_health,"6, 31, 32",Executive Summary,"Aged 65 and older, greatest source of risk (text): % personal health (non-Covid-19)",18,pct,,text,N,,
