finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,5,Executive summary,Respondents in the 2021 study,125911,count,0,text,N,,
X02,"5, 9",Executive summary,Countries and territories surveyed,121,count,0,text,N,,
X03,"5, 12",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, world",39,pct,,text,N,,
X04,"5, 12",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, world",28,pct,,text,N,,
X05,"5, 12",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion or don't know, world",30,pct,,text,N,,The report adds the rounded 22% and 8%; unrounded the sum is 30.6.
X06,"5, 12",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion, world",22,pct,,text,N,,
X07,"5, 12",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't know/refused, world",8,pct,,text,N,,
X08_women,"5, 12",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, women",35,pct,,text,N,,
X08_men,"5, 12",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, men",42,pct,,text,N,,
X09_women,12,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, women",29,pct,,text,N,,
X09_men,12,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, men",27,pct,,text,N,,
X10_2019,12,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, 2019",40,pct,,text,N,,Countries surveyed in both 2019 and 2021 (119).
X10_2021,12,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, 2021",39,pct,,text,N,,Countries surveyed in both 2019 and 2021 (119).
X11_2019,12,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, 2019",30,pct,,text,N,,Countries surveyed in both 2019 and 2021 (119).
X11_2021,12,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, 2021",28,pct,,text,N,,Countries surveyed in both 2019 and 2021 (119).
C1_1_world_help,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, world",39,pct,,chart,N,,
C1_1_world_harm,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, world",28,pct,,chart,N,,
C1_1_world_neither,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % neither, world",2,pct,,chart,N,,
C1_1_world_no_opinion,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion, world",22,pct,,chart,N,,
C1_1_world_dk,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't know/refused, world",8,pct,,chart,N,,
C1_1_women_help,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, women",35,pct,,chart,N,,
C1_1_women_harm,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, women",29,pct,,chart,N,,
C1_1_women_neither,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % neither, women",2,pct,,chart,N,,
C1_1_women_no_opinion,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion, women",24,pct,,chart,N,,
C1_1_women_dk,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't know/refused, women",9,pct,,chart,N,,
C1_1_men_help,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, men",42,pct,,chart,N,,
C1_1_men_harm,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, men",27,pct,,chart,N,,
C1_1_men_neither,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % neither, men",2,pct,,chart,N,,
C1_1_men_no_opinion,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion, men",20,pct,,chart,N,,
C1_1_men_dk,12,Chart 1.1,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't know/refused, men",8,pct,,chart,N,,
X12_help,"5, 13",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, Eastern Asia",57,pct,,text,N,,
X12_harm,"5, 13",Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, Eastern Asia",13,pct,,text,N,,
X13,13,Chapter 1,"Ratio mostly help / mostly harm, Eastern Asia ('4.4:1')",4.4,ratio,0.1,text,N,,"Ratio of the rounded percentages (mostly help / mostly harm), as in the report."
X14_harm,13,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, Eastern Africa",51,pct,,text,N,,
X14_help,13,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, Eastern Africa",22,pct,,text,N,,
X15_TZA,13,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, TZA",62,pct,,text,N,,
X15_KEN,13,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, KEN",57,pct,,text,N,,
X15_UGA,13,Chapter 1,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, UGA",57,pct,,text,N,,
X16,13,Chapter 1,"Highest % mostly help among Tanzania, Kenya and Uganda ('no more than 25%')",25,pct,,text,N,,
C1_2_east_asia_help,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, Eastern Asia",57,pct,,chart,N,,
C1_2_east_asia_no_opinion,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion, Eastern Asia",18,pct,,chart,N,,
C1_2_east_asia_harm,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, Eastern Asia",13,pct,,chart,N,,
C1_2_east_asia_dk,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't know/refused, Eastern Asia",9,pct,,chart,N,,
C1_2_east_asia_ratio,13,Chart 1.2,"Ratio mostly help / mostly harm, Eastern Asia",4.4,ratio,0.1,chart,N,,"Ratio of the rounded percentages (mostly help / mostly harm), as in the report."
C1_2_north_west_europe_help,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, Northern/Western Europe",48,pct,,chart,N,,
C1_2_north_west_europe_neither,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % neither, Northern/Western Europe",6,pct,,chart,N,,
C1_2_north_west_europe_no_opinion,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion, Northern/Western Europe",18,pct,,chart,N,,
C1_2_north_west_europe_harm,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, Northern/Western Europe",27,pct,,chart,N,,
C1_2_north_west_europe_ratio,13,Chart 1.2,"Ratio mostly help / mostly harm, Northern/Western Europe",1.8,ratio,0.1,chart,N,,"Ratio of the rounded percentages (mostly help / mostly harm), as in the report."
C1_2_south_europe_help,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly help, Southern Europe",44,pct,,chart,N,,
C1_2_south_europe_neither,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % neither, Southern Europe",6,pct,,chart,N,,
C1_2_south_europe_no_opinion,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % don't have an opinion, Southern Europe",13,pct,,chart,N,,
C1_2_south_europe_harm,13,Chart 1.2,"AI will mostly help or mostly harm people in this country in the next 20 years: % mostly harm, Southern Europe",35,pct,,chart,N,,
