finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,5,Executive summary,Respondents in the 2021 World Risk Poll,125911,count,0,text,N,,
X02,"5, 10, 16, 27",Executive summary,Countries and territories surveyed,121,count,0,text,N,,
X03_yes,"6, 11",Chapter 1,Anything you could do to protect yourself or your family from a disaster (global): % yes,52,pct,,text,N,,
X03_no,"6, 11",Chapter 1,Anything you could do to protect yourself or your family from a disaster (global): % no,36,pct,,text,N,,
X03_depends,"6, 11",Chapter 1,Anything you could do to protect yourself or your family from a disaster (global): % it depends,6,pct,,text,N,,
X03_dk,"6, 11",Chapter 1,Anything you could do to protect yourself or your family from a disaster (global): % don't know,6,pct,,text,N,,Don't know includes refused (0.2%).
C1_1_yes,12,Chart 1.1,"Could protect yourself or family from a disaster, global: % yes",52,pct,,chart,N,,
C1_1_no,12,Chart 1.1,"Could protect yourself or family from a disaster, global: % no",36,pct,,chart,N,,
C1_1_depends,12,Chart 1.1,"Could protect yourself or family from a disaster, global: % it depends",6,pct,,chart,N,,
C1_1_dk,12,Chart 1.1,"Could protect yourself or family from a disaster, global: % don't know",6,pct,,chart,N,,Don't know includes refused (0.2%).
X04_high_income,12,Chapter 1,Could protect yourself or family from a disaster: % yes by country income: high-income countries,61,pct,,text,N,,Middle income is lower-middle and upper-middle combined.
X04_middle_income,12,Chapter 1,Could protect yourself or family from a disaster: % yes by country income: middle-income countries,51,pct,,text,N,,Middle income is lower-middle and upper-middle combined.
X04_low_income,12,Chapter 1,Could protect yourself or family from a disaster: % yes by country income: low-income countries,40,pct,,text,N,,Middle income is lower-middle and upper-middle combined.
X05,12,Chapter 1,"Could protect yourself or family: % yes, Southern Africa ('only a quarter')",25,pct,,text,N,,
X06,12,Chapter 1,"Could protect yourself or family: % yes, Southeastern Asia",70,pct,,text,N,,
C1_2_northern_america,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Northern America,74,pct,,chart,N,,
C1_2_southeastern_asia,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Southeastern Asia,70,pct,,chart,N,,
C1_2_australia_nz,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Australia & New Zealand,64,pct,,chart,N,,
C1_2_southern_europe,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Southern Europe,54,pct,,chart,N,,
C1_2_eastern_europe,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Eastern Europe,54,pct,,chart,N,,
C1_2_eastern_asia,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Eastern Asia,51,pct,,chart,N,,
C1_2_northern_western_europe,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Northern/Western Europe,51,pct,,chart,N,,
C1_2_southern_asia,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Southern Asia,51,pct,,chart,N,,
C1_2_latin_america,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Latin America & Caribbean,50,pct,,chart,N,,
C1_2_middle_east,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Middle East,46,pct,,chart,N,,
C1_2_eastern_africa,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Eastern Africa,43,pct,,chart,N,,
C1_2_central_asia,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Central Asia,42,pct,,chart,N,,
C1_2_central_western_africa,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Central/Western Africa,34,pct,,chart,N,,
C1_2_northern_africa,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Northern Africa,31,pct,,chart,N,,
C1_2_southern_africa,13,Chart 1.2,Could protect yourself or family from a disaster: % yes: Southern Africa,25,pct,,chart,N,,
X07,"6, 13",Chapter 1,Could cover basic needs for less than a month if all income was lost (global),34,pct,,text,N,,
X08,"6, 13",Chapter 1,Could cover basic needs for less than a week if all income was lost (global),12,pct,,text,N,,
X09_southern_asia,13,Chapter 1,Could cover basic needs for less than a month: Southern Asia,57,pct,,text,N,,
X09_northern_africa,13,Chapter 1,Could cover basic needs for less than a month: Northern Africa,49,pct,,text,N,,49.6% in the data. The two rounded chart segments (24 + 25) sum to 49.
