finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,"5, 9",Executive summary,"Respondents (page 9: 'over 125,000')",125911,count,,text,N,,
X02,"5, 9",Executive summary,Countries and territories surveyed,121,count,,text,N,,
X03,"6, 10",Executive summary,"Experienced any violence and harassment (V&H) at work, among those who have ever worked",20.9,pct,,text,N,,
X04,6,Executive summary,"Of those who experienced V&H at work, % who experienced it more than once",58.5,pct,,text,N,,"How this was computed is not stated. The code counts each form experienced separately and takes the share of those experiences that happened three or more times. Per person, 'three or more times for any form' gives 60.3%."
X05_men,"6, 11",Executive summary,"Experienced any V&H at work, among those who have ever worked: men",21.9,pct,,text,N,,
X05_women,"6, 11",Executive summary,"Experienced any V&H at work, among those who have ever worked: women",19.8,pct,,text,N,,
X06_psychological,"6, 20",Executive summary,"Ever experienced each form of V&H at work, among those who have ever worked: psychological",16.5,pct,,text,N,,
X06_physical,"6, 20",Executive summary,"Ever experienced each form of V&H at work, among those who have ever worked: physical",7.4,pct,,text,N,,
X06_sexual,"6, 20",Executive summary,"Ever experienced each form of V&H at work, among those who have ever worked: sexual",5.5,pct,,text,N,,
X07,6,Executive summary,"Of those who experienced V&H at work, % who experienced more than one form",27.7,pct,,text,N,,
X08_women,"6, 25",Executive summary,"Of those who experienced V&H at work, % whose experience had a sexual element: women",32.9,pct,,text,N,,Base as Chart 2.2: respondents who answered yes or no to all three V&H questions.
X08_men,"6, 25",Executive summary,"Of those who experienced V&H at work, % whose experience had a sexual element: men",15.4,pct,,text,N,,Base as Chart 2.2: respondents who answered yes or no to all three V&H questions.
X09,"6, 13",Executive summary,"Australia & New Zealand: experienced any V&H at work, among those who have ever worked",47.9,pct,,text,N,,
X10_experienced,"6, 29, 30",Executive summary,"Women with tertiary education: % experienced any V&H at work, among those who have ever worked",29.3,pct,,text,N,,
X10_told,"6, 29, 30",Executive summary,Women with tertiary education: % of those who experienced V&H who told someone,71.9,pct,,text,N,,
X11_foreign,6,Executive summary,"Women who experienced any V&H at work, among those who have ever worked, by country of birth: foreign-born",30.2,pct,,text,Y,WP4657,
X11_native,6,Executive summary,"Women who experienced any V&H at work, among those who have ever worked, by country of birth: native-born ('30.2% vs 21.5')",21.5,pct,,text,Y,WP4657,
X12_poorest,"6, 33",Executive summary,"Gap (foreign-born minus native-born women), % experienced V&H at work, by within-country income quintile: poorest 20%",12.6,pct,,text,Y,WP4657,
X12_richest,"6, 33",Executive summary,"Gap (foreign-born minus native-born women), % experienced V&H at work, by within-country income quintile: richest 20%",6.8,pct,,text,Y,WP4657,
X13_last_year,10,Chapter 1,"Last experienced any V&H at work, among those who have ever worked: within the past year",9.3,pct,,text,N,,"Timing is the most recent of the forms experienced (WP22402, WP22405_ALL, WP22408_ALL)."
X13_two_five,10,Chapter 1,"Last experienced any V&H at work, among those who have ever worked: two to five years ago",6.1,pct,,text,N,,"Timing is the most recent of the forms experienced (WP22402, WP22405_ALL, WP22408_ALL)."
X13_five_plus,10,Chapter 1,"Last experienced any V&H at work, among those who have ever worked: more than five years ago",5.2,pct,,text,N,,"Timing is the most recent of the forms experienced (WP22402, WP22405_ALL, WP22408_ALL)."
X14,10,Chapter 1,Footnote 7: experienced V&H at work but did not know when,0.2,pct,,text,N,,The footnote says sexual V&H. In the data 0.28% experienced some form but gave no timing for any form; 0.07% are those whose only experience without a timing is sexual.
C1_1_no,10,Chart 1.1,"Experience of any V&H at work and when last experienced, among those who have ever worked: % no",79,pct,,chart,N,,"The '% yes, do not know' segment is not labelled."
C1_1_last_year,10,Chart 1.1,"Experience of any V&H at work and when last experienced, among those who have ever worked: % yes, last year",9,pct,,chart,N,,"The '% yes, do not know' segment is not labelled."
C1_1_two_five,10,Chart 1.1,"Experience of any V&H at work and when last experienced, among those who have ever worked: % yes, 2-5 years ago",6,pct,,chart,N,,"The '% yes, do not know' segment is not labelled."
C1_1_five_plus,10,Chart 1.1,"Experience of any V&H at work and when last experienced, among those who have ever worked: % yes, 5+ years ago",5,pct,,chart,N,,"The '% yes, do not know' segment is not labelled."
C1_2_men_no,11,Chart 1.2,"Experience of any V&H at work, among those who have ever worked, by sex: % not experienced, men",78,pct,,chart,N,,
C1_2_men_yes,11,Chart 1.2,"Experience of any V&H at work, among those who have ever worked, by sex: % experienced, men",22,pct,,chart,N,,
C1_2_women_no,11,Chart 1.2,"Experience of any V&H at work, among those who have ever worked, by sex: % not experienced, women",80,pct,,chart,N,,
C1_2_women_yes,11,Chart 1.2,"Experience of any V&H at work, among those who have ever worked, by sex: % experienced, women",20,pct,,chart,N,,
X15_ever,"12, 45",Chapter 1,Respondents by whether they said they had never worked: respondents who did not say they had never worked (the report's base),113873,count,,text,N,,
X15_never,"12, 45",Chapter 1,Respondents by whether they said they had never worked: respondents who said at any of the three V&H questions that they had never worked,12038,count,,text,N,,
X16,12,Chapter 1,Respondents employed at the time of polling (the base of the ILO report 'A global first survey'),74364,count,,text,N,,"Not reproduced. EMP_2010 codes 1, 2, 3 and 5 (employed) give 74,500 respondents (72,412 of them in this report's base); China has no EMP_2010 in the public data. The ILO report's exact filter is not given."
X17_northern_america,13,Chapter 1,"Experienced any V&H at work, among those who have ever worked, by region: Northern America",41.4,pct,,text,N,,
X17_australia_nz_women,13,Chapter 1,"Experienced any V&H at work, among those who have ever worked, by region: Australia & New Zealand, women",52.1,pct,,text,N,,
X17_northern_america_gap,13,Chapter 1,"Experienced any V&H at work, among those who have ever worked, by region: Northern America, gap (women minus men)",13.3,pct,,text,N,,
X17_southern_africa_gap,13,Chapter 1,"Experienced any V&H at work, among those who have ever worked, by region: Southern Africa, gap (men minus women)",11,pct,,text,N,,
X17_central_asia,13,Chapter 1,"Experienced any V&H at work, among those who have ever worked, by region: Central Asia",4.6,pct,,text,N,,
X17_central_asia_men,13,Chapter 1,"Experienced any V&H at work, among those who have ever worked, by region: Central Asia, men",5.0,pct,,text,N,,
X17_central_asia_women,13,Chapter 1,"Experienced any V&H at work, among those who have ever worked, by region: Central Asia, women",4.2,pct,,text,N,,
C1_3_australia_nz_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Australia & New Zealand, % men",44,pct,,chart,N,,
C1_3_australia_nz_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Australia & New Zealand, % women",52,pct,,chart,N,,
C1_3_northern_america_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Northern America, % men",35,pct,,chart,N,,
C1_3_northern_america_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Northern America, % women",48,pct,,chart,N,,
C1_3_eastern_africa_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Eastern Africa, % men",30,pct,,chart,N,,
C1_3_eastern_africa_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Eastern Africa, % women",22,pct,,chart,N,,
C1_3_central_western_africa_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Central/Western Africa, % men",30,pct,,chart,N,,
C1_3_central_western_africa_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Central/Western Africa, % women",25,pct,,chart,N,,
C1_3_latin_america_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Latin America & Caribbean, % men",27,pct,,chart,N,,
C1_3_latin_america_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Latin America & Caribbean, % women",24,pct,,chart,N,,
C1_3_eastern_asia_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Eastern Asia, % men",27,pct,,chart,N,,
C1_3_eastern_asia_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Eastern Asia, % women",18,pct,,chart,N,,
C1_3_northern_western_europe_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Northern/Western Europe, % men",25,pct,,chart,N,,
C1_3_northern_western_europe_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Northern/Western Europe, % women",31,pct,,chart,N,,
C1_3_southern_europe_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southern Europe, % men",24,pct,,chart,N,,
C1_3_southern_europe_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southern Europe, % women",30,pct,,chart,N,,
C1_3_southern_africa_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southern Africa, % men",22,pct,,chart,N,,
C1_3_southern_africa_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southern Africa, % women",11,pct,,chart,N,,
C1_3_eastern_europe_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Eastern Europe, % men",21,pct,,chart,N,,
C1_3_eastern_europe_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Eastern Europe, % women",23,pct,,chart,N,,
C1_3_middle_east_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Middle East, % men",18,pct,,chart,N,,
C1_3_middle_east_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Middle East, % women",18,pct,,chart,N,,
C1_3_southern_asia_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southern Asia, % men",15,pct,,chart,N,,
C1_3_southern_asia_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southern Asia, % women",11,pct,,chart,N,,
C1_3_northern_africa_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Northern Africa, % men",12,pct,,chart,N,,
C1_3_northern_africa_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Northern Africa, % women",10,pct,,chart,N,,
C1_3_southeastern_asia_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southeastern Asia, % men",11,pct,,chart,N,,
C1_3_southeastern_asia_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Southeastern Asia, % women",9,pct,,chart,N,,
C1_3_central_asia_men,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Central Asia, % men",5,pct,,chart,N,,
C1_3_central_asia_women,13,Chart 1.3,"Experienced any V&H at work, among those who have ever worked, by region and sex: Central Asia, % women",4,pct,,chart,N,,
X18_AUS,14,Chapter 1,"Experienced any V&H at work, among those who have ever worked: Australia",49.1,pct,,text,N,,
X18_AUS_men,14,Chapter 1,"Experienced any V&H at work, among those who have ever worked: Australia, men",44.8,pct,,text,N,,
X18_FIN_women,14,Chapter 1,"Experienced any V&H at work, among those who have ever worked: Finland, women",57.9,pct,,text,N,,
T1_1_AUS_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Australia, % all",49.1,pct,,table,N,,
T1_1_AUS_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Australia, % men",44.8,pct,,table,N,,
T1_1_AUS_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Australia, % women",53.3,pct,,table,N,,
T1_1_AUS_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Australia, gap (women minus men)",8.5,pct,,table,N,,
T1_1_AUS_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Australia, World Bank income group",High,text,,table,N,,
T1_1_FIN_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Finland, % all",47.9,pct,,table,N,,
T1_1_FIN_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Finland, % men",37.6,pct,,table,N,,
T1_1_FIN_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Finland, % women",57.9,pct,,table,N,,
T1_1_FIN_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Finland, gap (women minus men)",20.3,pct,,table,N,,
T1_1_FIN_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Finland, World Bank income group",High,text,,table,N,,
T1_1_ISL_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Iceland, % all",42.3,pct,,table,N,,
T1_1_ISL_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Iceland, % men",39.3,pct,,table,N,,
T1_1_ISL_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Iceland, % women",45.2,pct,,table,N,,
T1_1_ISL_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Iceland, gap (women minus men)",5.9,pct,,table,N,,
T1_1_ISL_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Iceland, World Bank income group",High,text,,table,N,,
T1_1_NZL_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: New Zealand, % all",42.0,pct,,table,N,,
T1_1_NZL_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: New Zealand, % men",38.0,pct,,table,N,,
T1_1_NZL_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: New Zealand, % women",45.9,pct,,table,N,,
T1_1_NZL_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: New Zealand, gap (women minus men)",7.9,pct,,table,N,,
T1_1_NZL_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: New Zealand, World Bank income group",High,text,,table,N,,
T1_1_DNK_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Denmark, % all",41.7,pct,,table,N,,
T1_1_DNK_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Denmark, % men",30.3,pct,,table,N,,
T1_1_DNK_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Denmark, % women",53.0,pct,,table,N,,
T1_1_DNK_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Denmark, gap (women minus men)",22.7,pct,,table,N,,
T1_1_DNK_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Denmark, World Bank income group",High,text,,table,N,,
T1_1_USA_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: United States, % all",41.5,pct,,table,N,,
T1_1_USA_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: United States, % men",34.9,pct,,table,N,,
T1_1_USA_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: United States, % women",47.9,pct,,table,N,,
T1_1_USA_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: United States, gap (women minus men)",13.0,pct,,table,N,,
T1_1_USA_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: United States, World Bank income group",High,text,,table,N,,
T1_1_NOR_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Norway, % all",41.5,pct,,table,N,,
T1_1_NOR_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Norway, % men",33.4,pct,,table,N,,
T1_1_NOR_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Norway, % women",49.7,pct,,table,N,,
T1_1_NOR_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Norway, gap (women minus men)",16.3,pct,,table,N,,
T1_1_NOR_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Norway, World Bank income group",High,text,,table,N,,
T1_1_CAN_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Canada, % all",40.7,pct,,table,N,,
T1_1_CAN_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Canada, % men",33.1,pct,,table,N,,
T1_1_CAN_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Canada, % women",48.2,pct,,table,N,,
T1_1_CAN_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Canada, gap (women minus men)",15.1,pct,,table,N,,
T1_1_CAN_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Canada, World Bank income group",High,text,,table,N,,
T1_1_GRC_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Greece, % all",37.6,pct,,table,N,,
T1_1_GRC_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Greece, % men",30.9,pct,,table,N,,
T1_1_GRC_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Greece, % women",44.0,pct,,table,N,,
T1_1_GRC_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Greece, gap (women minus men)",13.1,pct,,table,N,,
T1_1_GRC_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Greece, World Bank income group",High,text,,table,N,,
T1_1_SWE_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Sweden, % all",36.9,pct,,table,N,,
T1_1_SWE_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Sweden, % men",28.8,pct,,table,N,,
T1_1_SWE_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Sweden, % women",45.5,pct,,table,N,,
T1_1_SWE_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Sweden, gap (women minus men)",16.7,pct,,table,N,,
T1_1_SWE_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Sweden, World Bank income group",High,text,,table,N,,
T1_1_KGZ_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Kyrgyzstan, % all",7.4,pct,,table,N,,
T1_1_KGZ_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Kyrgyzstan, % men",7.3,pct,,table,N,,
T1_1_KGZ_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Kyrgyzstan, % women",7.5,pct,,table,N,,
T1_1_KGZ_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Kyrgyzstan, gap (women minus men)",0.2,pct,,table,N,,
T1_1_KGZ_income,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work: Kyrgyzstan, World Bank income group",Lower-middle,text,,table,N,,
T1_1_LBN_all,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Lebanon, % all",7.3,pct,,table,N,,
T1_1_LBN_men,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Lebanon, % men",7.2,pct,,table,N,,
T1_1_LBN_women,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Lebanon, % women",7.5,pct,,table,N,,
T1_1_LBN_diff,14,Table 1.1,"Countries with highest and lowest experience of any V&H at work, among those who have ever worked: Lebanon, gap (women minus men)",0.2,pct,,table,N,,
