finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,2,Introduction,Countries surveyed in the 2021 Poll,121,count,,text,N,,
X02,2,Introduction,"People interviewed ('over 125,000')",125000,count,1000,text,N,,
X03,2,Introduction,Climate change a 'very serious threat' to people in the country in the next 20 years: % globally,41,pct,,text,N,,
X04,2,Introduction,Climate change a 'very' or 'somewhat serious threat' to people in the country in the next 20 years: % globally,67,pct,,text,N,,
X05,"2, 3",Introduction,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Chile,87,pct,,text,N,,Also in the page 2 sidebar and the page 3 text.
X06,2,Introduction,Climate change a 'very' or 'somewhat serious threat' to people in the country in the next 20 years: % in Chile,94,pct,,text,N,,
X07,2,Introduction,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Saudi Arabia,8,pct,,text,N,,
X08,2,Introduction,Climate change a 'very' or 'somewhat serious threat' to people in the country in the next 20 years: % in Saudi Arabia,31,pct,,text,N,,
X09,3,Public perceptions of climate change vary globally,"Greatest source of risk to safety in daily life: % naming climate change, globally",3,pct,,text,N,,
X10,"2, 3",Public perceptions of climate change vary globally,"Greatest source of risk to safety in daily life: % naming climate change, in Chile ('less than 1%', '<1%')",0.5,pct,0.5,text,N,,"Printed as 'less than 1%' (page 3) and '<1%' (page 2 sidebar). Recorded as 0.5 with tolerance 0.5, so any value from 0 to 1 is within tolerance."
C1_least_concerned,3,Chart 1,Chart annotation: country least concerned about climate change as a threat to people in the country (lowest % 'very serious threat'),Saudi Arabia,text,,chart,N,,
C1_most_climate_risk,3,Chart 1,Chart annotation: country most likely to name climate change as the greatest source of risk to personal safety,Nepal,text,,chart,N,,
C1_top12_latam_europe,3,Chart 1,"Chart annotation: of the 12 countries most concerned about climate change (% 'very serious threat'), number in Latin America or Europe",12,count,0,chart,N,,
X11,5,Chart 3 (text),"Of Australia, the United States and Canada, number where over 50% see climate change as a 'very serious threat'",3,count,0,text,N,,
X12,7,Chart 5 (text),Climate change a 'very serious threat' to people in the country in the next 20 years: % in China,20,pct,,text,N,,
X13,"8, 9",A dependence on fossil fuels may strongly reduce concern about climate change,"Countries where energy is more than 50% of all exports and 50% or more see climate change as a 'very serious threat' ('in all countries where energy contributes more than 50% of all exports, less than 50% ...')",0,count,0,text,N,,"Needs external data: World Bank WDI TX.VAL.FUEL.ZS.UN (fuel exports, % of merchandise exports), 2021 values, snapshot in reports/external/. Also the Chart 6 annotation and the page 9 pull quote."
X14,10,Perceptions of climate change can vary within countries,Smallest number of respondents in any country ('at least a thousand or more residents in each country'),1000,count,0,text,N,,"Iceland (500) and Jamaica (505) had about 500 respondents in 2021; the other 119 countries had 1,000 or more."
X15,10,Perceptions of climate change can vary within countries,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Norway,45,pct,,text,N,,
X16,10,Perceptions of climate change can vary within countries,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Western Norway,40,pct,,text,N,,Also in Chart 7.
X17,10,Perceptions of climate change can vary within countries,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Northern Norway,31,pct,,text,N,,Also in Chart 7.
C7_northern,10,Chart 7,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Northern Norway,31,pct,,chart,N,,Regions built from REGION4_NOR counties; see README.
C7_trondelag,10,Chart 7,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Trøndelag,42,pct,,chart,N,,Regions built from REGION4_NOR counties; see README.
C7_western,10,Chart 7,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Western Norway,40,pct,,chart,N,,Regions built from REGION4_NOR counties; see README.
C7_eastern,10,Chart 7,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Eastern Norway,48,pct,,chart,N,,Regions built from REGION4_NOR counties; see README.
C7_southern,10,Chart 7,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Southern Norway,51,pct,,chart,N,,Regions built from REGION4_NOR counties; see README.
X18,11,Vested political and economic interests influence perceptions,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Canada,61,pct,,text,N,,"60.2% in the data (DK and refused in the base). Excluding them gives 66.3%; unweighted, 62.2%."
X19,11,Vested political and economic interests influence perceptions,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Alberta,39,pct,,text,Y,GWP_CANADA_PROVINCE,"Also in Chart 8. The public release has no province variable for Canada (REGION_CAN combines Alberta, Saskatchewan and Manitoba as 'Prairies')."
C8_alberta,11,Chart 8,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Alberta,39,pct,,chart,Y,GWP_CANADA_PROVINCE,"Needs a Canadian province variable, which is not in the public release (REGION_CAN has eight regions); placeholder item name."
C8_british_columbia,11,Chart 8,Climate change a 'very serious threat' to people in the country in the next 20 years: % in British Columbia,63,pct,,chart,N,,Province built from REGION_CAN (CMA plus rest of province).
C8_saskatchewan,11,Chart 8,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Saskatchewan,61,pct,,chart,Y,GWP_CANADA_PROVINCE,"Needs a Canadian province variable, which is not in the public release (REGION_CAN has eight regions); placeholder item name."
C8_manitoba,11,Chart 8,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Manitoba,67,pct,,chart,Y,GWP_CANADA_PROVINCE,"Needs a Canadian province variable, which is not in the public release (REGION_CAN has eight regions); placeholder item name."
C8_ontario,11,Chart 8,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Ontario,67,pct,,chart,N,,Province built from REGION_CAN (CMA plus rest of province).
C8_quebec,11,Chart 8,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Quebec,57,pct,,chart,N,,Province built from REGION_CAN (CMA plus rest of province).
C8_newfoundland_labrador,11,Chart 8,Climate change a 'very serious threat' to people in the country in the next 20 years: % in Newfoundland and Labrador,76,pct,,chart,Y,GWP_CANADA_PROVINCE,"Needs a Canadian province variable, which is not in the public release (REGION_CAN has eight regions); placeholder item name."
