finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,2,Introduction,Workers who have ever experienced violence and harassment at work (sidebar),22,pct,,text,N,,"Computed for everyone who has ever worked. The printed 22% equals the native-born figure on page 4 (X10), and the sidebar's 'rises to 28%' equals the foreign-born figure (X11). Tried: WGT 21.5%, currently employed 22.6%, DK excluded 20.2%."
X02,2,Introduction,"Workers working outside their country of birth who have experienced V&H at work (sidebar, 'rises to 28%')",28,pct,,text,Y,WP4657,
X03,3,Chart 1,Australia and New Zealand: % ever experienced V&H at work (text),48,pct,,text,N,,
X04,3,Chart 1,Northern America: % ever experienced V&H at work (text),41,pct,,text,N,,
X05,3,Chart 1,Central Asia: % ever experienced V&H at work (text),5,pct,,text,N,,
X06,3,Chart 1,South-eastern Asia: % ever experienced V&H at work (text),10,pct,,text,N,,
C1_northern_western_europe,3,Chart 1,Ever experienced violence and harassment at work: Northern/Western Europe,28,pct,,chart,N,,
C1_eastern_europe,3,Chart 1,Ever experienced violence and harassment at work: Eastern Europe,22,pct,,chart,N,,
C1_northern_america,3,Chart 1,Ever experienced violence and harassment at work: Northern America,41,pct,,chart,N,,
C1_central_asia,3,Chart 1,Ever experienced violence and harassment at work: Central Asia,5,pct,,chart,N,,
C1_southern_europe,3,Chart 1,Ever experienced violence and harassment at work: Southern Europe,27,pct,,chart,N,,
C1_east_asia,3,Chart 1,Ever experienced violence and harassment at work: East Asia,23,pct,,chart,N,,Includes China (asked only the psychological and sexual questions).
C1_north_africa,3,Chart 1,Ever experienced violence and harassment at work: North Africa,12,pct,,chart,N,,
C1_middle_east,3,Chart 1,Ever experienced violence and harassment at work: Middle East,18,pct,,chart,N,,
C1_south_eastern_asia,3,Chart 1,Ever experienced violence and harassment at work: South-eastern Asia,10,pct,,chart,N,,
C1_central_western_africa,3,Chart 1,Ever experienced violence and harassment at work: Central/Western Africa,28,pct,,chart,N,,
C1_south_asia,3,Chart 1,Ever experienced violence and harassment at work: South Asia,13,pct,,chart,N,,
C1_latin_america_caribbean,3,Chart 1,Ever experienced violence and harassment at work: Latin America & Caribbean,25,pct,,chart,N,,
C1_eastern_africa,3,Chart 1,Ever experienced violence and harassment at work: Eastern Africa,26,pct,,chart,N,,
C1_australia_nz,3,Chart 1,Ever experienced violence and harassment at work: Australia and New Zealand,48,pct,,chart,N,,
C1_southern_africa,3,Chart 1,Ever experienced violence and harassment at work: Southern Africa,17,pct,,chart,N,,
C2_global,4,Chart 2,"Experience of V&H at work, percentage-point difference between foreign-born and native-born: Global",6,pp,,chart,Y,WP4657,Printed without sign; foreign-born higher (pink label).
C2_australia_nz,4,Chart 2,"Experience of V&H at work, percentage-point difference between foreign-born and native-born: Australia and New Zealand",5,pp,,chart,Y,WP4657,Printed without sign; native-born higher (dark label).
