finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,"3, 6",Executive summary,"Interviews in the 2023 poll ('nearly 147,000')",147000,count,1000,text,N,,
X02,"3, 6, 7",Executive summary,Countries and territories surveyed in 2023,142,count,0,text,N,,
X03,"3, 7, 18, 29",Executive summary,"% of the current workforce who personally experienced serious harm at work in the past two years, 2023 (global)",18,pct,,text,N,,
X04,"3, 7",Executive summary,"Current workers who personally experienced serious harm at work in the past two years, 2023 (millions; 'around 667 million')",667,millions,,text,N,,
X05_low,"3, 9",Executive summary,"% of the current workforce who personally experienced serious harm at work in the past two years, 2023, by country income: low income",19,pct,,text,N,,
X05_lower_middle,"3, 9",Executive summary,"% of the current workforce who personally experienced serious harm at work in the past two years, 2023, by country income: lower-middle income",22,pct,,text,N,,
X06,"3, 19",Executive summary,% of the current workforce harmed at work in the past two years who told someone responsible for safety or health about it,51,pct,,text,N,,
X07,"3, 22, 29",Executive summary,% of the current workforce who have never received occupational safety and health (OSH) training,62,pct,,text,N,,
X08_lower_middle,"3, 23",Executive summary,"% of the current workforce never trained, by country income: lower-middle income",79,pct,,text,N,,
X08_low,"3, 23",Executive summary,"% of the current workforce never trained, by country income: low income",78,pct,,text,N,,
X09_ft_employer,"3, 25",Executive summary,"% of the current workforce trained in the past two years, by employment type: employed full-time for an employer",41,pct,,text,N,,
X09_part_time,"3, 25",Executive summary,"% of the current workforce trained in the past two years, by employment type: employed part-time",23,pct,,text,N,,
X10_never,"3, 25, 29",Executive summary,OSH training among the current workforce working in agriculture: % never trained,80,pct,,text,N,,
X10_past2,"3, 25, 29",Executive summary,OSH training among the current workforce working in agriculture: % trained in the past two years,15,pct,,text,N,,
X11,"3, 25, 29",Executive summary,% of the current workforce in fishing never trained,73,pct,,text,N,,
X12_not_harmed,"3, 12",Executive summary,"% of the employed very or somewhat worried about harm from work, by experience of workplace harm: not harmed",40,pct,,text,N,,
X12_know_someone,"3, 12",Executive summary,"% of the employed very or somewhat worried about harm from work, by experience of workplace harm: know someone who has been harmed",69,pct,,text,N,,
X12_personally,"3, 12",Executive summary,"% of the employed very or somewhat worried about harm from work, by experience of workplace harm: personally harmed",77,pct,,text,N,,
X12_both,"3, 12",Executive summary,"% of the employed very or somewhat worried about harm from work, by experience of workplace harm: both personally and know someone",78,pct,,text,N,,
X13_past2,"3, 27",Executive summary,Odds ratio of reporting workplace harm vs never trained (logistic model; harmed current workforce): trained in the past two years,3.3,odds_ratio,0.1,text,N,,"Model estimate; controls for gender, age, education, job sector and GDP per capita (World Bank). See README."
X13_older,"3, 27",Executive summary,"Odds ratio of reporting workplace harm vs never trained (logistic model; harmed current workforce): trained, not in the past two years or not sure when",1.8,odds_ratio,0.1,text,N,,"Model estimate; controls for gender, age, education, job sector and GDP per capita (World Bank). See README."
X14_adults,7,Chapter 2,"Personally experienced serious harm at work in the past two years, 2021: % of all adults",15,pct,,text,N,,
X14_workforce,7,Chapter 2,"Personally experienced serious harm at work in the past two years, 2021: % of the then current workforce",19,pct,,text,N,,
X15,7,Chapter 2,Countries and territories surveyed in 2021,121,count,0,text,N,,
X16,7,Chapter 2,"% of workers who had ever been seriously injured while working, 2019",19,pct,,text,N,,
X17,7,Chapter 2,"% of all adults who personally experienced serious harm at work in the past two years, 2023",15,pct,,text,N,,
X18,7,Chapter 2,"% of adults classified as out of the workforce, 2023",34,pct,,text,N,,
X19,7,Chapter 2,"% harmed at work in the past two years, current workforce plus those out of the workforce who worked in the past two years, 2023",17,pct,,text,N,,
C2_1_2019,7,Chart 2.1,% of the current workforce who personally experienced serious harm at work in the past two years (2019: ever seriously injured while working): 2019*,19,pct,,chart,N,,
C2_1_2021,7,Chart 2.1,% of the current workforce who personally experienced serious harm at work in the past two years (2019: ever seriously injured while working): 2021,19,pct,,chart,N,,
C2_1_2023,7,Chart 2.1,% of the current workforce who personally experienced serious harm at work in the past two years (2019: ever seriously injured while working): 2023,18,pct,,chart,N,,
X20,8,Chapter 2,Countries where survey mode changed (telephone in 2021 to face-to-face in 2023),27,count,0,text,N,,Mode from the Gallup/WRP methodology documents (external snapshot).
X21,8,Chapter 2,"Average change (2023 minus 2021, points) in % harmed at work among the current workforce, countries whose mode changed",-3,pct,,text,N,,Unweighted mean of country changes.
X22,8,Chapter 2,Countries where survey mode did not change (surveyed in both years),92,count,0,text,N,,
X23,8,Chapter 2,"Average change (2023 minus 2021, points) in % harmed at work among the current workforce, countries whose mode did not change",-1,pct,,text,N,,Unweighted mean of country changes.
X24_2023,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, Southern Asia: 2023",27,pct,,text,N,,
X24_2021,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, Southern Asia: 2021",32,pct,,text,N,,
X25_2023,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, Southern Europe: 2023",10,pct,,text,N,,
X25_2021,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, Southern Europe: 2021",22,pct,,text,N,,
X26_2023,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, Italy: 2023",7,pct,,text,N,,
X26_2021,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, Italy: 2021",38,pct,,text,N,,
X26_2019,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, Italy: 2019 (ever seriously injured while working)",7,pct,,text,N,,
X27,8,Chapter 2,"Smallest 2021-2023 decrease (points) among Northern Africa, Latin America & the Caribbean and Northern/Western Europe ('five points or more')",5,pct,,text,N,,The text says each fell by five points or more; the function returns the smallest of the three decreases.
X28_anz,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, 2023 (increases since 2021): Australia & New Zealand",12,pct,,text,N,,
X28_northern_america,8,Chapter 2,"% of the current workforce who personally experienced serious harm at work in the past two years, 2023 (increases since 2021): Northern America",12,pct,,text,N,,
