finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,3,Executive summary,"Interviews in 2023 ('nearly 147,000')",147000,count,500,text,N,,"Approximate wording: 'nearly 147,000'."
X02,"3, 15, 22",Executive summary,Countries and territories surveyed in 2023,142,count,0,text,N,,
X03,"3, 12, 15",Executive summary,"Climate change a very or somewhat serious threat to the country in the next 20 years, 2023",72,pct,,text,N,,
X04,"3, 19",Executive summary,"Odds ratio, climate change a very serious threat: very worried vs not worried about harm from severe weather",3.6,odds_ratio,0.1,text,N,,"Logistic regression (glm) with country fixed effects, WGT-weighted; see README for the specification. The report used a multi-level model that also controlled for two Gallup World Poll items."
X05,"3, 7",Executive summary,"Road-related accidents named as the greatest risk to safety in daily life, 2023",16,pct,,text,N,,
X06,"3, 7",Executive summary,"Road-related accidents named as the greatest risk to safety in daily life, 2021",13,pct,,text,N,,2021 respondents in the 120 countries also surveyed in 2023 (report footnote ii).
X07,"3, 7",Executive summary,"Road-related accidents named as the greatest risk to safety in daily life, 2019",16,pct,,text,N,,"2019 L3_A code 1, in the 137 countries also surveyed in 2023."
X08,"4, 27",Executive summary,"Feel more safe than five years ago, 2023",37,pct,,text,N,,
X09,"4, 27",Executive summary,"Feel about as safe as five years ago, 2023",37,pct,,text,N,,
X10,"4, 27",Executive summary,"Feel less safe than five years ago, 2023",26,pct,,text,N,,
X11,"4, 29",Executive summary,"Very or somewhat worried about harm from mental health issues, 2019",48,pct,,text,N,,Chart 4.4 prints 45% for the same figure (C4_4_mental_2019).
X12,"4, 29",Executive summary,"Very or somewhat worried about harm from mental health issues, 2021",52,pct,,text,N,,
X13,"4, 9, 29",Executive summary,"Very or somewhat worried about harm from mental health issues, 2023",55,pct,,text,N,,
X14,7,Chapter 2,"Crime/violence named as the greatest risk to safety in daily life, 2023",13,pct,,text,N,,
X15,7,Chapter 2,"Personal health condition named as the greatest risk to safety in daily life, 2023",11,pct,,text,N,,
X16,7,Chapter 2,"Climate change or severe weather named as the greatest risk to safety in daily life, 2023",6,pct,,text,N,,
X17,7,Chapter 2,"Climate change or severe weather named as the greatest risk to safety in daily life, 2021",3,pct,,text,N,,
X18,7,Chapter 2,"Climate change or severe weather named as the greatest risk to safety in daily life, 2019",3,pct,,text,N,,"2019 L3_A code 16, 'Climate change, natural disasters or weather-related events', which also includes non-weather disasters."
C2_1_road,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Road-related accidents/injuries",16,pct,,chart,N,,
C2_1_road_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Road-related accidents/injuries",3,pp,,chart,N,,
C2_1_crime,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Crime/violence",13,pct,,chart,N,,
C2_1_crime_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Crime/violence",1,pp,,chart,N,,
C2_1_health,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Personal health",11,pct,,chart,N,,
C2_1_health_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Personal health",1,pp,,chart,N,,
C2_1_dk,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Don't know",8,pct,,chart,N,,
C2_1_dk_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Don't know",-8,pp,,chart,N,,
C2_1_nothing,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Nothing/no risk",7,pct,,chart,N,,
C2_1_nothing_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Nothing/no risk",0,pp,,chart,N,,'No change' recorded as 0.
C2_1_economy,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Economy",7,pct,,chart,N,,
C2_1_economy_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Economy",2,pp,,chart,N,,
C2_1_climate,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Climate change or severe weather",6,pct,,chart,N,,
C2_1_climate_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Climate change or severe weather",3,pp,,chart,N,,
C2_1_financial,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Financial",6,pct,,chart,N,,
C2_1_financial_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Financial",0,pp,,chart,N,,'No change' recorded as 0.
C2_1_other,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % Other",6,pct,,chart,N,,
C2_1_other_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), Other",1,pp,,chart,N,,
C2_1_war,7,Chart 2.1,"Greatest risk to safety in daily life, 2023: % War/terrorism",3,pct,,chart,N,,
C2_1_war_chg,7,Chart 2.1,"Greatest risk to safety in daily life: change vs 2021 (pp), War/terrorism",1,pp,,chart,N,,
X19,8,Chapter 2,"High-income countries: road-related accidents named as the greatest risk, 2023",21,pct,,text,N,,
X20,8,Chapter 2,"Low-income countries: road-related accidents named as the greatest risk, 2023",9,pct,,text,N,,
X21,8,Chapter 2,"Australia & New Zealand: road-related accidents named as the greatest risk, 2023",35,pct,,text,N,,
X22,8,Chapter 2,"Northern America: road-related accidents named as the greatest risk, 2023",25,pct,,text,N,,
X23,8,Chapter 2,"Southeastern Asia: road-related accidents named as the greatest risk, 2023",24,pct,,text,N,,
X24,8,Chapter 2,"Central Asia: road-related accidents named as the greatest risk, 2023",7,pct,,text,N,,
X25,8,Chapter 2,"Southern Africa: road-related accidents named as the greatest risk, 2023",6,pct,,text,N,,
X26,8,Chapter 2,"Gap (pp), road-related accidents minus personal health conditions as the greatest risk, 2023",5,pp,,text,N,,'Personal health conditions' read as WP22331 code 5 (personal health condition/illness).
C2_2_anz,8,Chart 2.2,"Road-related accidents named as the greatest risk to safety, 2023: % Australia & New Zealand",35,pct,,chart,N,,
C2_2_anz_chg,8,Chart 2.2,"Road-related accidents named as the greatest risk: change vs 2021 (pp), Australia & New Zealand",3,pp,,chart,N,,
C2_2_north_america,8,Chart 2.2,"Road-related accidents named as the greatest risk to safety, 2023: % Northern America",25,pct,,chart,N,,
C2_2_north_america_chg,8,Chart 2.2,"Road-related accidents named as the greatest risk: change vs 2021 (pp), Northern America",-4,pp,,chart,N,,
C2_2_se_asia,8,Chart 2.2,"Road-related accidents named as the greatest risk to safety, 2023: % Southeastern Asia",24,pct,,chart,N,,
