finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,"2, 4",Key findings,"Greatest source of risk to safety in daily life (WP22331; 2019 L3_A): rank of economic insecurity (not having enough money or the general economy, codes 9 and 10 combined) among all sources of risk, 2023 ('second most commonly cited')",2,rank,0,text,N,,Road-related accidents (code 1) are first; crime/violence (code 3) is third.
X02,"2, 4",Key findings,"Household could cover basic needs without income (WP22228, WP22229): % could not cover basic needs for a month (less than a week or less than a month), 2023 ('more than a third')",33.3,pct,6.7,text,N,,'More than a third' recorded as 33.3; the tolerance covers 33.3% to 40%. Chart 1 prints 13% + 24%.
X03,"2, 5",Key findings,"Greatest source of risk to safety in daily life (WP22331; 2019 L3_A): % climate change or severe weather, 2023",6,pct,,text,N,,
X04,"2, 5",Key findings,"Greatest source of risk to safety in daily life (WP22331; 2019 L3_A): wave with the highest % naming climate change or severe weather, 2019-2023 ('highest level since the Poll began')",2023,year,0,text,N,,
X05,"2, 6",Key findings,"Would like to move permanently to another country (Gallup WP1325), 2021 and 2023 blended: ratio of % among those who see climate change as a very serious threat to % among those who see it as a somewhat serious threat or not a threat ('nearly twice as likely')",2,ratio,0.3,text,Y,WP1325,Chart 5 prints 15% against 8% and 8%.
X06,3,Introduction,"Countries in the World Risk Poll ('over 140 countries'), 2023",140,count,5,text,N,,The 2023 poll covered 142 countries and areas.
X07,4,2.1 Economic insecurity,"Household could cover basic needs without income (WP22228, WP22229): % less than a week, 2023",13,pct,,text,N,,
X08,4,2.1 Economic insecurity,"Household could cover basic needs without income (WP22228, WP22229): % less than a week, 2021",12,pct,,text,N,,
X09,4,2.1 Economic insecurity,"Household could cover basic needs without income (WP22228, WP22229): % less than a month (a week or more), 2023",24,pct,,text,N,,
X10,4,2.1 Economic insecurity,"Household could cover basic needs without income (WP22228, WP22229): % less than a month (a week or more), 2021",22,pct,,text,N,,
X11,4,2.1 Economic insecurity,"Household could cover basic needs without income (WP22228, WP22229): % a month or more, 2021",58,pct,,text,N,,
X12,4,2.1 Economic insecurity,"Household could cover basic needs without income (WP22228, WP22229): % a month or more, 2023",59,pct,,text,N,,
