finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,"3, 4",Climate change and ocean workers,Climate change a 'very' or 'somewhat serious threat' to people in the country in the next 20 years: % of all respondents globally,72,pct,,text,N,,Quoted from the 2024 'What the world worries about' report; repeated in the page 4 chart subtitle.
X02,3,Climate change and ocean workers,"Greatest source of risk to safety in daily life: % climate change or severe weather, all respondents globally",6,pct,,text,N,,Quoted from the 2024 'What the world worries about' report.
X03,4,Climate change and ocean workers,"Greatest source of risk to safety in daily life: % climate change or severe weather, ocean workers",17,pct,,text,N,,Also in the chart subtitle.
X04,4,Climate change and ocean workers,Greatest source of risk to safety in daily life: % climate change or severe weather: gap (ocean workers minus rest of the workforce),11,pct,,text,N,,
X05,4,Climate change and ocean workers,"Greatest source of risk to safety in daily life: % climate change or severe weather, other workers (chart subtitle)",6,pct,,text,N,,
X06,4,Climate change and ocean workers,Greatest source of risk to safety in daily life: % climate change or severe weather: ratio of ocean workers to other workers ('almost triple'),3,ratio,0.5,text,N,,Tolerance 0.5 for 'almost triple'.
X07,4,Climate change and ocean workers,Climate change a 'very' or 'somewhat serious threat' to people in the country in the next 20 years: % of ocean workers,66,pct,,text,N,,Also in the chart subtitle.
X08,4,Climate change and ocean workers,Climate change a 'very' or 'somewhat serious threat' to people in the country in the next 20 years: % of other workers,74,pct,,text,N,,
C1_1_ocean,4,Chart 1.1,Greatest source of risk to safety in daily life: % climate change or severe weather: ocean workers,17,pct,,chart,N,,
C1_1_other,4,Chart 1.1,Greatest source of risk to safety in daily life: % climate change or severe weather: all other workers,6,pct,,chart,N,,
C1_2_ocean_very,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % very serious threat, ocean workers",44,pct,,chart,N,,
C1_2_ocean_somewhat,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % somewhat serious threat, ocean workers",23,pct,,chart,N,,
C1_2_ocean_dk,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % don't know/refused, ocean workers",17,pct,,chart,N,,
C1_2_ocean_not,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % not a threat at all, ocean workers",16,pct,,chart,N,,
C1_2_other_very,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % very serious threat, all other workers",39,pct,,chart,N,,'All other workers' is computed as every respondent who is not an ocean worker (see README).
C1_2_other_somewhat,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % somewhat serious threat, all other workers",33,pct,,chart,N,,'All other workers' is computed as every respondent who is not an ocean worker (see README).
C1_2_other_dk,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % don't know/refused, all other workers",12,pct,,chart,N,,'All other workers' is computed as every respondent who is not an ocean worker (see README).
C1_2_other_not,4,Chart 1.2,"Climate change a threat to people in the country in the next 20 years: % not a threat at all, all other workers",16,pct,,chart,N,,'All other workers' is computed as every respondent who is not an ocean worker (see README).
X09,5,Climate change and ocean workers,"Worried severe weather could cause serious harm: % very or somewhat worried, ocean workers",80,pct,,text,N,,Also in the chart subtitle.
X10,5,Climate change and ocean workers,"Worried severe weather could cause serious harm: % very or somewhat worried, rest of the workforce",72,pct,,text,N,,Also in the chart subtitle.
X11,5,Climate change and ocean workers,"Worried severe weather could cause serious harm: % very worried, ocean workers",49,pct,,text,N,,Also in the chart subtitle.
X12,5,Climate change and ocean workers,"Worried severe weather could cause serious harm: % very worried, other workers",37,pct,,text,N,,
X13,5,Climate change and ocean workers,"Worried severe weather could cause serious harm: % very worried, 'globally' (chart subtitle)",37,pct,,text,N,,The chart subtitle says '37% globally'; the text and chart say other workers. Computed over all respondents.
X14,5,Climate change and ocean workers,Personally experienced serious harm from severe weather in the past two years: ocean workers ('one third'),33,pct,,text,N,,Also in the chart subtitle.
X15,5,Climate change and ocean workers,Personally experienced serious harm from severe weather in the past two years: other workers,20,pct,,text,N,,Also in the chart subtitle.
C1_3_ocean_very,5,Chart 1.3,"Worried severe weather could cause serious harm: % very worried, ocean workers",49,pct,,chart,N,,
C1_3_ocean_somewhat,5,Chart 1.3,"Worried severe weather could cause serious harm: % somewhat worried, ocean workers",31,pct,,chart,N,,
C1_3_other_very,5,Chart 1.3,"Worried severe weather could cause serious harm: % very worried, all other workers",37,pct,,chart,N,,
C1_3_other_somewhat,5,Chart 1.3,"Worried severe weather could cause serious harm: % somewhat worried, all other workers",35,pct,,chart,N,,
C1_4_ocean,5,Chart 1.4,Personally experienced serious harm from severe weather in the past two years: ocean workers,33,pct,,chart,N,,
C1_4_other,5,Chart 1.4,Personally experienced serious harm from severe weather in the past two years: all other workers,20,pct,,chart,N,,
X16,6,The cost of work at sea,"Greatest source of risk to safety in daily life: % work-related accidents, ocean workers",9,pct,,text,N,,Also in the chart subtitle.
X17,6,The cost of work at sea,"Greatest source of risk to safety in daily life: % work-related accidents, rest of the workforce",3,pct,,text,N,,Also in the chart subtitle.
X18,6,The cost of work at sea,Greatest source of risk to safety in daily life: % work-related accidents: ratio of ocean workers to other workers ('three times higher'),3,ratio,0.5,text,N,,Tolerance 0.5 for 'three times'. Also in the chart subtitle.
C2_1_ocean,6,Chart 2.1,Greatest source of risk to safety in daily life: % work-related accidents: ocean workers,9,pct,,chart,N,,
C2_1_other,6,Chart 2.1,Greatest source of risk to safety in daily life: % work-related accidents: all other workers,3,pct,,chart,N,,
X19,7,The cost of work at sea,"Worried the work you do could cause serious harm: % very or somewhat worried, ocean workers ('over half')",56,pct,,text,N,,Also in the chart subtitle.
X20,7,The cost of work at sea,"Worried the work you do could cause serious harm: % very or somewhat worried, other workers",51,pct,,text,N,,Also in the chart subtitle.
X21,7,The cost of work at sea,"Worried the work you do could cause serious harm: % very worried, ocean workers",26,pct,,text,N,,Also in the chart subtitle.
X22,7,The cost of work at sea,"Worried the work you do could cause serious harm: % very worried, other workers",19,pct,,text,N,,Also in the chart subtitle.
X23,7,The cost of work at sea,Worried the work you do could cause serious harm: rank of ocean workers among the eight sectors in Chart 2.2 (% very or somewhat worried; 'second most concerned'),2,rank,0,text,N,,
X24,7,The cost of work at sea,Worried the work you do could cause serious harm: sector with the highest % very or somewhat worried ('behind only ...'),Mining and quarrying,text,,text,N,,
X25,7,The cost of work at sea,"Personally experienced serious harm from the work you do in the past two years: ocean workers ('a quarter', 'one in four')",25,pct,,text,N,,Also in the chart subtitle.
X26,7,The cost of work at sea,Personally experienced serious harm from the work you do in the past two years: other workers,18,pct,,text,N,,Also in the chart subtitle.
X27,7,The cost of work at sea,Personally experienced serious harm from the work you do in the past two years: rank of ocean workers among the eight sectors in Chart 2.3 ('the highest of any employment sector'),1,rank,0,text,N,,
C2_2_ocean_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Ocean workers",26,pct,,chart,N,,
C2_2_ocean_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Ocean workers",31,pct,,chart,N,,
C2_2_construction_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Construction",20,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_construction_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Construction",33,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_mining_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Mining and quarrying",32,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_mining_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Mining and quarrying",29,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_agriculture_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Agriculture (excluding fishing)",27,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_agriculture_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Agriculture (excluding fishing)",29,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_market_services_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Market services",16,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_market_services_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Market services",29,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_non_market_services_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Non-market services",13,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_non_market_services_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Non-market services",28,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_manufacturing_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Manufacturing",14,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_manufacturing_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Manufacturing",32,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_utilities_very,7,Chart 2.2,"Worried the work you do could cause serious harm: % very worried, Electricity, gas or water supply",13,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_2_utilities_somewhat,7,Chart 2.2,"Worried the work you do could cause serious harm: % somewhat worried, Electricity, gas or water supply",34,pct,,chart,N,,The seven other sectors' values match unweighted shares (see README).
C2_3_ocean,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: Ocean workers,25,pct,,chart,N,,
C2_3_construction,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: Construction,22,pct,,chart,N,,Same values as Chart 2.10 of the 2024 'Engineering safer workplaces' report.
C2_3_mining,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: Mining and quarrying,21,pct,,chart,N,,Same values as Chart 2.10 of the 2024 'Engineering safer workplaces' report.
C2_3_agriculture,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: Agriculture (excluding fishing),18,pct,,chart,N,,Same values as Chart 2.10 of the 2024 'Engineering safer workplaces' report.
C2_3_market_services,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: Market services,17,pct,,chart,N,,Same values as Chart 2.10 of the 2024 'Engineering safer workplaces' report.
C2_3_non_market_services,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: Non-market services,16,pct,,chart,N,,Same values as Chart 2.10 of the 2024 'Engineering safer workplaces' report.
C2_3_manufacturing,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: Manufacturing,15,pct,,chart,N,,Same values as Chart 2.10 of the 2024 'Engineering safer workplaces' report.
C2_3_utilities,7,Chart 2.3,"Personally experienced serious harm from the work you do in the past two years: Electricity, gas or water supply",10,pct,,chart,N,,Same values as Chart 2.10 of the 2024 'Engineering safer workplaces' report.
C2_3_global,7,Chart 2.3,Personally experienced serious harm from the work you do in the past two years: global mean (current workforce),18,pct,,chart,N,,
X28,8,The cost of work at sea,"Received occupational safety and health (OSH) training in current role: % ever, ocean workers",32,pct,,text,N,,Also in the chart subtitle.
X29,8,The cost of work at sea,"Received occupational safety and health (OSH) training in current role: % ever, other workers",38,pct,,text,N,,Also in the chart subtitle.
X30,8,The cost of work at sea,"Received occupational safety and health (OSH) training in current role: % in the past two years, ocean workers ('just a quarter')",25,pct,,text,N,,Also in the chart subtitle.
C2_4_ocean_recent,8,Chart 2.4,"Received occupational safety and health (OSH) training in current role: % in the last 2 years, ocean workers",25,pct,,chart,N,,
C2_4_ocean_older,8,Chart 2.4,"Received occupational safety and health (OSH) training in current role: % more than 2 years ago, ocean workers",7,pct,,chart,N,,
C2_4_other_recent,8,Chart 2.4,"Received occupational safety and health (OSH) training in current role: % in the last 2 years, all other workers",30,pct,,chart,N,,
C2_4_other_older,8,Chart 2.4,"Received occupational safety and health (OSH) training in current role: % more than 2 years ago, all other workers",7,pct,,chart,N,,
X31,8,The cost of work at sea,"Of those who experienced harm at work, % who told someone: ocean workers",41,pct,,text,N,,Also in the chart subtitle.
X32,8,The cost of work at sea,"Of those who experienced harm at work, % who told someone: other workers",51,pct,,text,N,,Also in the chart subtitle.
C2_5_ocean,8,Chart 2.5,"Of those who experienced harm at work, % who told someone: ocean workers",41,pct,,chart,N,,
C2_5_other,8,Chart 2.5,"Of those who experienced harm at work, % who told someone: all other workers",51,pct,,chart,N,,
