finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,"i, iii",Foreword; Executive summary,"Interviews in the 2025 Poll ('more than 143,000')",143000,count,1000,text,N,,
X02,"i, iii",Foreword; Executive summary,Countries and territories surveyed in 2025,140,count,,text,N,,
X03_government,"i, iv, 17, 24, 26",Foreword; Executive summary; Chapter 3; Conclusion,"% who say the government cares about them 'a lot', 2025 ('fewer than one in four')",25,pct,4,text,N,,Upper bound: any value below the published figure fits the wording. WP22231_ALL (includes Myanmar and Vietnam).
X03_neighbours,"i, iv, 24, 26",Foreword; Executive summary; Chapter 3; Conclusion,"% who say their neighbours care about them 'a lot', 2025 ('fewer than one in four')",25,pct,4,text,N,,Upper bound: any value below the published figure fits the wording.
X04,"iii, 3, 5, 26",Executive summary; Chapter 1; Conclusion,"Global Resilience Index, 2025",57,mean,,text,N,,
X05,"iii, 3, 26",Executive summary; Chapter 1; Conclusion,"Global Resilience Index, change 2023 to 2025 ('stable', 'level with 2023', 'on par')",0,points,,text,N,,"Difference of the rounded scores, as the report computes its changes (see README)."
X06,"iii, 26",Executive summary; Chapter 1; Conclusion,"Global Resilience Index, change 2021 to 2025 ('two points above 2021')",2,points,,text,N,,"Difference of the rounded scores, as the report computes its changes (see README). Unrounded: 1.4."
X07,3,Chapter 1,"Global Resilience Index, 2021 ('ahead of 2021 (55)')",55,mean,,text,N,,
X08,"iii, 3, 25, 26",Executive summary; Chapter 1; Conclusion,"Global individual resilience, 2025",42,mean,,text,N,,
X09,"iii, 3",Executive summary; Chapter 1; Conclusion,"Global individual resilience, change 2023 to 2025 ('fallen two points')",-2,points,,text,N,,"Difference of the rounded scores, as the report computes its changes (see README). Unrounded: -2.5."
X10,"iii, 3",Executive summary; Chapter 1; Conclusion,"Global individual resilience, change 2021 to 2023 ('for a second consecutive edition')",-2,points,,text,N,,"Difference of the rounded scores, as the report computes its changes (see README). Unrounded: -1.3."
X11,"iii, 3",Executive summary; Chapter 1; Conclusion,"Global individual resilience, 2021",46,mean,,text,N,,
X12,3,Chapter 1,"Global individual resilience, 2023",44,mean,,text,N,,
X13,"iii, 3",Executive summary; Chapter 1; Conclusion,"Global household resilience, 2025",55,mean,,text,N,,
X14,"iii, 3",Executive summary; Chapter 1; Conclusion,"Global household resilience, change 2023 to 2025 ('unchanged')",0,points,,text,N,,"Difference of the rounded scores, as the report computes its changes (see README)."
X15,"iii, 3",Executive summary; Chapter 1; Conclusion,"Global community resilience, 2025",63,mean,,text,N,,
X16,"iii, 3",Executive summary; Chapter 1; Conclusion,"Global community resilience, change 2023 to 2025 ('unchanged')",0,points,,text,N,,"Difference of the rounded scores, as the report computes its changes (see README)."
X17,"iii, 3",Executive summary; Chapter 1,"Countries with an increase in perceived agency of at least 10 points, 2023 to 2025",18,count,0,text,N,,"Country % who could protect themselves or their family from a future disaster (WP22252 = yes), 2023 to 2025, among the 137 countries surveyed in both. A change counts when it rounds to 10 points or more."
X18,"iii, 3",Executive summary; Chapter 1,"Countries with a decrease in perceived agency of at least 10 points, 2023 to 2025",13,count,0,text,N,,"Country % who could protect themselves or their family from a future disaster (WP22252 = yes), 2023 to 2025, among the 137 countries surveyed in both. A change counts when it rounds to 10 points or more."
