finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
C1_1_index_2021,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global Resilience Index score, 2021",55,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_index_2023,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global Resilience Index score, 2023",57,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_index_2025,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global Resilience Index score, 2025",57,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_individual_2021,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global individual dimension score, 2021",46,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_individual_2023,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global individual dimension score, 2023",44,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_individual_2025,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global individual dimension score, 2025",42,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_household_2021,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global household dimension score, 2021",54,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_household_2023,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global household dimension score, 2023",55,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_household_2025,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global household dimension score, 2025",55,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_community_2021,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global community dimension score, 2021",63,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_community_2023,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global community dimension score, 2023",63,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_community_2025,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global community dimension score, 2025",63,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_societal_2021,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global societal dimension score, 2021",63,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_societal_2023,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global societal dimension score, 2023",65,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_1_societal_2025,2,Ch1 The state of global resilience in 2025,"Chart 1.1: global societal dimension score, 2025",66,mean,,chart,N,,"PROJWT-weighted mean of the respondent score x 100, all countries in the wave"
C1_2_low_impacted,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, impacted by a disaster, low income",33,mean,,chart,N,,
C1_2_low_not,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, not impacted, low income",32,mean,,chart,N,,
C1_2_lower_middle_impacted,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, impacted by a disaster, lower_middle income",39,mean,,chart,N,,
C1_2_lower_middle_not,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, not impacted, lower_middle income",29,mean,,chart,N,,
C1_2_upper_middle_impacted,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, impacted by a disaster, upper_middle income",58,mean,,chart,N,,
C1_2_upper_middle_not,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, not impacted, upper_middle income",41,mean,,chart,N,,
C1_2_high_impacted,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, impacted by a disaster, high income",66,mean,,chart,N,,
C1_2_high_not,3,Ch1 What can a single edition of the Poll tell us?,"Chart 1.2: individual resilience, not impacted, high income",58,mean,,chart,N,,
T2_1_MAR_n2021,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Morocco, 2021",137,count,,table,N,,
T2_1_MAR_n2023,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Morocco, 2023",132,count,,table,N,,
T2_1_MAR_expo_est,6,Ch2 How the comparison works,"Table 2.1: Morocco, change in reported disaster experience, affected minus rest (pp)",11,pp,,table,N,,
T2_1_MAR_expo_lo,6,Ch2 How the comparison works,"Table 2.1: Morocco, exposure check, 95% CI lower bound",-2,pp,,table,N,,HC1 95% CI from the case regression
T2_1_MAR_expo_hi,6,Ch2 How the comparison works,"Table 2.1: Morocco, exposure check, 95% CI upper bound",25,pp,,table,N,,HC1 95% CI from the case regression
T2_1_MOZ_n2021,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Mozambique, 2021",360,count,,table,N,,
T2_1_MOZ_n2023,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Mozambique, 2023",360,count,,table,N,,
T2_1_MOZ_expo_est,6,Ch2 How the comparison works,"Table 2.1: Mozambique, change in reported disaster experience, affected minus rest (pp)",9,pp,,table,N,,
T2_1_MOZ_expo_lo,6,Ch2 How the comparison works,"Table 2.1: Mozambique, exposure check, 95% CI lower bound",-2,pp,,table,N,,HC1 95% CI from the case regression
T2_1_MOZ_expo_hi,6,Ch2 How the comparison works,"Table 2.1: Mozambique, exposure check, 95% CI upper bound",21,pp,,table,N,,HC1 95% CI from the case regression
T2_1_NZL_n2021,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, New Zealand, 2021",365,count,,table,N,,
T2_1_NZL_n2023,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, New Zealand, 2023",418,count,,table,N,,
T2_1_NZL_expo_est,6,Ch2 How the comparison works,"Table 2.1: New Zealand, change in reported disaster experience, affected minus rest (pp)",35,pp,,table,N,,
T2_1_NZL_expo_lo,6,Ch2 How the comparison works,"Table 2.1: New Zealand, exposure check, 95% CI lower bound",25,pp,,table,N,,HC1 95% CI from the case regression
T2_1_NZL_expo_hi,6,Ch2 How the comparison works,"Table 2.1: New Zealand, exposure check, 95% CI upper bound",45,pp,,table,N,,HC1 95% CI from the case regression
T2_1_TUR_n2021,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Türkiye, 2021",174,count,,table,N,,
T2_1_TUR_n2023,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Türkiye, 2023",180,count,,table,N,,
T2_1_TUR_expo_est,6,Ch2 How the comparison works,"Table 2.1: Türkiye, change in reported disaster experience, affected minus rest (pp)",39,pp,,table,N,,
T2_1_TUR_expo_lo,6,Ch2 How the comparison works,"Table 2.1: Türkiye, exposure check, 95% CI lower bound",27,pp,,table,N,,HC1 95% CI from the case regression
T2_1_TUR_expo_hi,6,Ch2 How the comparison works,"Table 2.1: Türkiye, exposure check, 95% CI upper bound",52,pp,,table,N,,HC1 95% CI from the case regression
T2_1_PAK_n2021,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Pakistan, 2021",280,count,,table,N,,
T2_1_PAK_n2023,6,Ch2 How the comparison works,"Table 2.1: affected-region respondents, Pakistan, 2023",230,count,,table,N,,
