finding_id,page,section,description,published_value,unit,tolerance,source,requires_gallup,gallup_items,note
X01,"i, iii",Foreword; Executive summary,"Interviews conducted in 2025 ('more than 143,000')",143000,count,1000,text,N,,
X02,"i, iii",Foreword; Executive summary,Countries and territories surveyed in 2025,140,count,0,text,N,,
X03,"iii, 9, 12, 18, 19",Executive summary; Chapters 2-3,"Current workforce: % personally experienced serious harm at work in past two years, 2025",16,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README)"
X04,"iii, 18",Executive summary; Chapter 3,"Current workforce: % personally experienced harm at work, 2023",18,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README). Countries surveyed in 2025."
X05,"iii, 18",Executive summary; Chapter 3,"Current workforce: % personally experienced harm at work, 2021",19,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README). Countries surveyed in 2025; China not asked the employment questions in 2021."
X06,"iii, 12",Executive summary; Chapter 2,"Adults: % personally experienced harm from food in past two years, 2025 (record high)",14,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README)"
X07,"iii, 12",Executive summary; Chapter 2,"Adults: % personally experienced harm from drinking water, 2025 (record high)",13,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README)"
X08,"iii, 1, 2",Executive summary; Chapter 1,"Top-of-mind risk to safety: % road-related accidents, 2025 ('one in seven')",14,pct,,text,N,,
X09,"iii, 2",Executive summary; Chapter 1,"Top-of-mind risk to safety: % personal health conditions, 2025",11,pct,,text,N,,
X10,"iii, 2, 5",Executive summary; Chapter 1,"Top-of-mind risk to safety: % crime and violence, 2025",10,pct,,text,N,,
X11,"iii, 4",Executive summary; Chapter 1,Global regions covered by the World Risk Poll,15,count,0,text,N,,
X12,"iii, 4",Executive summary; Chapter 1,Distinct top-three rankings of top-of-mind risks among the 15 regions ('no two regions share the same top three'),15,count,0,text,N,,"Top three from Table 1.1: categories ranked on percentages rounded to whole numbers, tied categories grouped."
X13,"iii, 26",Executive summary; Chapter 4,"Adults: % personally harmed by severe prolonged weather events (droughts, heatwaves), 2025",19,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README)"
X14,"iii, 12, 26","Executive summary; Chapters 2, 4","Adults: % personally harmed by severe weather events (floods, storms), 2025",17,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README)"
X15,"iii, 26",Executive summary; Chapter 4,"Adults: % personally harmed by the air they breathe, 2025 ('one in 10')",12,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README)"
X16,"iii, 26",Executive summary; Chapter 4,"Adults: % personally harmed by wildfires, 2025",8,pct,,text,N,,"Personally experienced = 'yes, personally' + 'both', summed after rounding each, as the report does (see README)"
X17,"iv, 25, 26, 37",Executive summary; Chapter 4; Conclusion,"Adults: % not worried at all about being harmed by the air they breathe ('nearly half', '1 in 2')",47,pct,,text,N,,
X18,"iv, 34",Executive summary; Chapter 4,"Of the 10 countries with most personal harm from severe weather events, number also in the 10 most harmed by severe prolonged weather events",7,count,0,text,N,,
X19,"1, 2",Chapter 1,Change 2023 to 2025 in % naming road-related accidents as top risk ('down 2 percentage points'),-2,pct,,text,N,,"Difference of the rounded 2025 and 2023 figures (14 - 16), as in Chart 1.1."
X20,"2, 7",Chapter 1,"Top-of-mind risk: % don't know or refused, 2025",15,pct,,text,N,,
X21,2,Chapter 1,"Top-of-mind risk: % don't know or refused, 2023",9,pct,,text,N,,Countries surveyed in 2025.
X22,2,Chapter 1,"Top-of-mind risk: % don't know or refused, 2021",19,pct,,text,N,,Countries surveyed in 2025.
X23,2,Chapter 1,Change 2023 to 2025 in % don't know or refused ('six points higher'),6,pct,,text,N,,Difference of rounded figures (15 - 9).
X24,2,Chapter 1,"India: % answering 'don't know' to top-of-mind risk, 2021",34,pct,,text,N,,"Don't know and refused together, as in Chart 1.1."
X25,2,Chapter 1,"India: % answering 'don't know' to top-of-mind risk, 2023",5,pct,,text,N,,Don't know and refused together.
X26,2,Chapter 1,"India: % answering 'don't know' to top-of-mind risk, 2025",36,pct,,text,N,,Don't know and refused together. 'Don't know' alone is 31%.
X27,2,Chapter 1,"Top-of-mind risk: % road-related accidents, 2023",16,pct,,text,N,,Countries surveyed in 2025.
X28,2,Chapter 1,"Top-of-mind risk: % road-related accidents, 2021 ('also 14%')",14,pct,,text,N,,Countries surveyed in 2025 (all 2021 countries give 13.3%).
X29,2,Chapter 1,"Top-of-mind risk: % road-related accidents as first answer, 2019",16,pct,,text,N,,"2019 item L3_A (first of two answers); countries surveyed in 2025, as footnote v says."
X30,2,Chapter 1,"Top-of-mind risk: % the economy, 2025",9,pct,,text,N,,
X31,2,Chapter 1,"Top-of-mind risk: % climate change or severe weather events, 2025",6,pct,,text,N,,
X32,2,Chapter 1,"Top-of-mind risk: % financial risks, 2025",5,pct,,text,N,,
X33,2,Chapter 1,"Top-of-mind risk: % war or terrorism, 2025",3,pct,,text,N,,
X34,2,Chapter 1 (footnote iii),"Top-of-mind risk: weighted % refusing to answer, 2025",1.8,pct,0.1,text,N,,
X35,2,Chapter 1 (footnote iii),"Top-of-mind risk: weighted % answering 'don't know', 2025",13.6,pct,0.1,text,N,,
X36,2,Chapter 1 (footnote iv),Among those who feel unable to protect themselves from a disaster: % who cannot name their top risk,18,pct,,text,N,,WP22252 = no; don't know and refused together.
X37,2,Chapter 1 (footnote iv),Among those who feel able to protect themselves from a disaster: % who cannot name their top risk,10,pct,,text,N,,WP22252 = yes.
X38,3,Chapter 1,"Australia and New Zealand: % naming road-related accidents, 2025",33,pct,,text,N,,
X39,3,Chapter 1,"Northern America: % naming road-related accidents, 2025",33,pct,,text,N,,
X40,3,Chapter 1,Northern America: change in % naming road-related accidents since 2023 ('increased by eight points'),8,pct,,text,N,,Difference of rounded figures in Chart 1.2.
X41,3,Chapter 1,Eastern Asia: change in % naming road-related accidents since 2023 ('four-point increase'),4,pct,,text,N,,Difference of rounded figures in Chart 1.2.
X42,3,Chapter 1,Southern Asia: change in % naming road-related accidents since 2023 ('down by 13 points'),-13,pct,,text,N,,Difference of rounded figures in Chart 1.2.
X43,4,Chapter 1,Regions where road-related accidents rank among the top three risks,11,count,0,text,N,,"From Table 1.1 ranking (rounded percentages, ties grouped)."
X44,4,Chapter 1,Regions where road-related accidents are the single top risk ('leads in six regions'),6,count,0,text,N,,
X45,4,Chapter 1,"Regions where personal health is the second-most named risk (Central Asia, Southeastern Asia, Central/Western Africa, Eastern Africa, Southern Europe)",5,count,0,text,N,,
X46,4,Chapter 1,Eastern Asia: % naming the environment (climate change/severe weather) as top risk,18,pct,,text,N,,
X47,4,Chapter 1,Eastern Europe: % naming war or terrorism as top risk,23,pct,,text,N,,
X48,4,Chapter 1,Australia and New Zealand: % naming mental health issues as top risk,10,pct,,text,N,,WP22331 code 8 (mental stress/exhaustion).
X49,4,Chapter 1,Northern America: % naming politics as top risk,9,pct,,text,N,,
C1_1_dk,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Don't know/refused",15,pct,,chart,N,,
C1_1_dk_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Don't know/refused (pp),6,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_road,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Road-related accidents",14,pct,,chart,N,,
C1_1_road_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Road-related accidents (pp),-2,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_health,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Personal health",11,pct,,chart,N,,
C1_1_health_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Personal health (pp),0,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_crime,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Crime/violence",10,pct,,chart,N,,
C1_1_crime_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Crime/violence (pp),-3,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_economy,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Economy",9,pct,,chart,N,,
C1_1_economy_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Economy (pp),2,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_climate,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Climate change/severe weather",6,pct,,chart,N,,
C1_1_climate_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Climate change/severe weather (pp),0,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_nothing,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Nothing/no risk",6,pct,,chart,N,,
C1_1_nothing_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Nothing/no risk (pp),-1,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_financial,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Financial",5,pct,,chart,N,,
C1_1_financial_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Financial (pp),-1,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_other,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Other",5,pct,,chart,N,,
C1_1_other_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Other (pp),-1,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_war,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % War/terrorism",3,pct,,chart,N,,
C1_1_war_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % War/terrorism (pp),0,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_work,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Work",2,pct,,chart,N,,
C1_1_work_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Work (pp),-1,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_technology,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Technology",2,pct,,chart,N,,
C1_1_technology_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Technology (pp),1,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_1_environment,2,Chart 1.1,"Top-of-mind risk to safety, 2025: % Environment (pollution)",2,pct,,chart,N,,
C1_1_environment_change,2,Chart 1.1,Top-of-mind risk to safety: change 2023 to 2025 in % Environment (pollution) (pp),0,pct,,chart,N,,Difference of the rounded 2025 and 2023 figures ('No change' = 0); 2023 uses countries surveyed in 2025.
C1_2_northern_america_2021,3,Chart 1.2,"Northern America: % naming road-related accidents as top risk, 2021",29,pct,,chart,N,,Countries surveyed in 2025.
C1_2_northern_america_2023,3,Chart 1.2,"Northern America: % naming road-related accidents as top risk, 2023",25,pct,,chart,N,,Countries surveyed in 2025.
C1_2_northern_america_2025,3,Chart 1.2,"Northern America: % naming road-related accidents as top risk, 2025",33,pct,,chart,N,,
C1_2_anz_2021,3,Chart 1.2,"Australia and New Zealand: % naming road-related accidents as top risk, 2021",33,pct,,chart,N,,Countries surveyed in 2025.
C1_2_anz_2023,3,Chart 1.2,"Australia and New Zealand: % naming road-related accidents as top risk, 2023",35,pct,,chart,N,,Countries surveyed in 2025.
C1_2_anz_2025,3,Chart 1.2,"Australia and New Zealand: % naming road-related accidents as top risk, 2025",33,pct,,chart,N,,
C1_2_southeastern_asia_2021,3,Chart 1.2,"Southeastern Asia: % naming road-related accidents as top risk, 2021",14,pct,,chart,N,,Countries surveyed in 2025.
C1_2_southeastern_asia_2023,3,Chart 1.2,"Southeastern Asia: % naming road-related accidents as top risk, 2023",24,pct,,chart,N,,Countries surveyed in 2025.
C1_2_southeastern_asia_2025,3,Chart 1.2,"Southeastern Asia: % naming road-related accidents as top risk, 2025",22,pct,,chart,N,,
C1_2_southern_europe_2021,3,Chart 1.2,"Southern Europe: % naming road-related accidents as top risk, 2021",19,pct,,chart,N,,Countries surveyed in 2025.
C1_2_southern_europe_2023,3,Chart 1.2,"Southern Europe: % naming road-related accidents as top risk, 2023",19,pct,,chart,N,,Countries surveyed in 2025.
C1_2_southern_europe_2025,3,Chart 1.2,"Southern Europe: % naming road-related accidents as top risk, 2025",20,pct,,chart,N,,
C1_2_nw_europe_2021,3,Chart 1.2,"Northern/Western Europe: % naming road-related accidents as top risk, 2021",21,pct,,chart,N,,Countries surveyed in 2025.
C1_2_nw_europe_2023,3,Chart 1.2,"Northern/Western Europe: % naming road-related accidents as top risk, 2023",18,pct,,chart,N,,Countries surveyed in 2025.
C1_2_nw_europe_2025,3,Chart 1.2,"Northern/Western Europe: % naming road-related accidents as top risk, 2025",19,pct,,chart,N,,
C1_2_cw_africa_2021,3,Chart 1.2,"Central/Western Africa: % naming road-related accidents as top risk, 2021",17,pct,,chart,N,,Countries surveyed in 2025.
C1_2_cw_africa_2023,3,Chart 1.2,"Central/Western Africa: % naming road-related accidents as top risk, 2023",16,pct,,chart,N,,Countries surveyed in 2025.
