iso3,country,indicator,year,value
ABW,Aruba,NY.GDP.PCAP.CD,2021,26827.3447869986
ABW,Aruba,NY.GDP.PCAP.CD,2022,31000.5713798732
ABW,Aruba,NY.GDP.PCAP.CD,2023,34897.6183932009
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,2021,1560.89462580275
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,2022,1675.90252377611
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,2023,1571.13270407815
AFG,Afghanistan,NY.GDP.PCAP.CD,2021,356.496214115892
AFG,Afghanistan,NY.GDP.PCAP.CD,2022,357.261152798144
AFG,Afghanistan,NY.GDP.PCAP.CD,2023,413.757894705303
AFW,Africa Western and Central,NY.GDP.PCAP.CD,2021,2116.9382941844
AFW,Africa Western and Central,NY.GDP.PCAP.CD,2022,2143.07209365676
AFW,Africa Western and Central,NY.GDP.PCAP.CD,2023,1846.24681069313
AGO,Angola,NY.GDP.PCAP.CD,2021,2266.96834861584
AGO,Angola,NY.GDP.PCAP.CD,2022,3598.53669077341
AGO,Angola,NY.GDP.PCAP.CD,2023,2885.51349130806
ALB,Albania,NY.GDP.PCAP.CD,2021,7242.45513146613
ALB,Albania,NY.GDP.PCAP.CD,2022,7756.96188744253
ALB,Albania,NY.GDP.PCAP.CD,2023,9740.7023414631
AND,Andorra,NY.GDP.PCAP.CD,2021,42425.6996761083
AND,Andorra,NY.GDP.PCAP.CD,2022,42414.0590111349
AND,Andorra,NY.GDP.PCAP.CD,2023,46812.448450114
ARB,Arab World,NY.GDP.PCAP.CD,2021,6708.20761928893
ARB,Arab World,NY.GDP.PCAP.CD,2022,7960.81158770821
ARB,Arab World,NY.GDP.PCAP.CD,2023,7504.35637695627
ARE,United Arab Emirates,NY.GDP.PCAP.CD,2021,44118.4936214315
ARE,United Arab Emirates,NY.GDP.PCAP.CD,2022,50759.7590190204
ARE,United Arab Emirates,NY.GDP.PCAP.CD,2023,49850.6945082084
ARG,Argentina,NY.GDP.PCAP.CD,2021,10738.0179223384
ARG,Argentina,NY.GDP.PCAP.CD,2022,13962.1894087223
ARG,Argentina,NY.GDP.PCAP.CD,2023,14261.8465667948
ARM,Armenia,NY.GDP.PCAP.CD,2021,4685.17997128509
ARM,Armenia,NY.GDP.PCAP.CD,2022,6571.97445545099
ARM,Armenia,NY.GDP.PCAP.CD,2023,8159.08720967996
ASM,American Samoa,NY.GDP.PCAP.CD,2021,15236.1604875571
ASM,American Samoa,NY.GDP.PCAP.CD,2022,18017.4589383973
ASM,American Samoa,NY.GDP.PCAP.CD,2023,
ATG,Antigua and Barbuda,NY.GDP.PCAP.CD,2021,17348.6006987182
ATG,Antigua and Barbuda,NY.GDP.PCAP.CD,2022,20003.3909394099
ATG,Antigua and Barbuda,NY.GDP.PCAP.CD,2023,22012.2625947994
AUS,Australia,NY.GDP.PCAP.CD,2021,60758.9044397144
AUS,Australia,NY.GDP.PCAP.CD,2022,65169.5191118657
AUS,Australia,NY.GDP.PCAP.CD,2023,65058.3773146674
AUT,Austria,NY.GDP.PCAP.CD,2021,53648.6437976214
AUT,Austria,NY.GDP.PCAP.CD,2022,52336.7725223758
AUT,Austria,NY.GDP.PCAP.CD,2023,56579.504175468
AZE,Azerbaijan,NY.GDP.PCAP.CD,2021,5408.04535175023
AZE,Azerbaijan,NY.GDP.PCAP.CD,2022,7770.594223351
AZE,Azerbaijan,NY.GDP.PCAP.CD,2023,7133.02838048328
BDI,Burundi,NY.GDP.PCAP.CD,2021,264.172844085398
BDI,Burundi,NY.GDP.PCAP.CD,2022,301.832255755105
BDI,Burundi,NY.GDP.PCAP.CD,2023,249.795164039029
BEL,Belgium,NY.GDP.PCAP.CD,2021,51658.238294958
BEL,Belgium,NY.GDP.PCAP.CD,2022,50639.0264882739
BEL,Belgium,NY.GDP.PCAP.CD,2023,55244.68145811
BEN,Benin,NY.GDP.PCAP.CD,2021,1318.65158075198
BEN,Benin,NY.GDP.PCAP.CD,2022,1266.42711031904
BEN,Benin,NY.GDP.PCAP.CD,2023,1394.17784721831
BFA,Burkina Faso,NY.GDP.PCAP.CD,2021,895.535288442991
BFA,Burkina Faso,NY.GDP.PCAP.CD,2022,827.330843486661
BFA,Burkina Faso,NY.GDP.PCAP.CD,2023,873.198061670247
BGD,Bangladesh,NY.GDP.PCAP.CD,2021,2482.84917843357
BGD,Bangladesh,NY.GDP.PCAP.CD,2022,2716.48592780431
BGD,Bangladesh,NY.GDP.PCAP.CD,2023,2551.01773827307
BGR,Bulgaria,NY.GDP.PCAP.CD,2021,12966.8085197381
BGR,Bulgaria,NY.GDP.PCAP.CD,2022,13999.9113358453
BGR,Bulgaria,NY.GDP.PCAP.CD,2023,15854.0192893772
BHR,Bahrain,NY.GDP.PCAP.CD,2021,27147.8083882286
BHR,Bahrain,NY.GDP.PCAP.CD,2022,30470.5219276023
BHR,Bahrain,NY.GDP.PCAP.CD,2023,29290.1284215098
BHS,"Bahamas, The",NY.GDP.PCAP.CD,2021,30367.8605757708
BHS,"Bahamas, The",NY.GDP.PCAP.CD,2022,34957.1613279737
BHS,"Bahamas, The",NY.GDP.PCAP.CD,2023,38231.774484278
BIH,Bosnia and Herzegovina,NY.GDP.PCAP.CD,2021,7295.34378682258
BIH,Bosnia and Herzegovina,NY.GDP.PCAP.CD,2022,7655.59421024383
BIH,Bosnia and Herzegovina,NY.GDP.PCAP.CD,2023,8663.02326458629
BLR,Belarus,NY.GDP.PCAP.CD,2021,7489.71894713888
BLR,Belarus,NY.GDP.PCAP.CD,2022,7994.64806074889
BLR,Belarus,NY.GDP.PCAP.CD,2023,7896.75388295584
BLZ,Belize,NY.GDP.PCAP.CD,2021,6142.98930557031
BLZ,Belize,NY.GDP.PCAP.CD,2022,7068.21728043145
BLZ,Belize,NY.GDP.PCAP.CD,2023,7424.75821321022
BMU,Bermuda,NY.GDP.PCAP.CD,2021,112765.08167306
BMU,Bermuda,NY.GDP.PCAP.CD,2022,119969.173269085
BMU,Bermuda,NY.GDP.PCAP.CD,2023,132961.760796315
BOL,Bolivia,NY.GDP.PCAP.CD,2021,4010.76053686204
BOL,Bolivia,NY.GDP.PCAP.CD,2022,4219.46113742445
BOL,Bolivia,NY.GDP.PCAP.CD,2023,4274.70820547613
BRA,Brazil,NY.GDP.PCAP.CD,2021,7972.5366498646
BRA,Brazil,NY.GDP.PCAP.CD,2022,9281.33334441234
BRA,Brazil,NY.GDP.PCAP.CD,2023,10377.5892792557
BRB,Barbados,NY.GDP.PCAP.CD,2021,21084.4013935998
BRB,Barbados,NY.GDP.PCAP.CD,2022,24393.2193483944
BRB,Barbados,NY.GDP.PCAP.CD,2023,25583.8722302505
BRN,Brunei Darussalam,NY.GDP.PCAP.CD,2021,31006.9636289785
BRN,Brunei Darussalam,NY.GDP.PCAP.CD,2022,36632.9280952155
BRN,Brunei Darussalam,NY.GDP.PCAP.CD,2023,32890.5491812019
BTN,Bhutan,NY.GDP.PCAP.CD,2021,3570.61257980872
BTN,Bhutan,NY.GDP.PCAP.CD,2022,3711.32767981591
