iso3,country,indicator,year,value
AFE,Africa Eastern and Southern,FP.CPI.TOTL.ZG,2020,5.19162942092851
AFE,Africa Eastern and Southern,FP.CPI.TOTL.ZG,2021,6.82472709282067
AFE,Africa Eastern and Southern,FP.CPI.TOTL.ZG,2022,10.8834775726018
AFE,Africa Eastern and Southern,FP.CPI.TOTL.ZG,2023,7.39918558080627
AFG,Afghanistan,FP.CPI.TOTL.ZG,2020,5.60188791482224
AFG,Afghanistan,FP.CPI.TOTL.ZG,2021,5.13320340824963
AFG,Afghanistan,FP.CPI.TOTL.ZG,2022,13.7121023720065
AFG,Afghanistan,FP.CPI.TOTL.ZG,2023,-4.64470870797775
AFW,Africa Western and Central,FP.CPI.TOTL.ZG,2020,2.49037783931949
AFW,Africa Western and Central,FP.CPI.TOTL.ZG,2021,3.74556782333009
AFW,Africa Western and Central,FP.CPI.TOTL.ZG,2022,7.94925143524016
AFW,Africa Western and Central,FP.CPI.TOTL.ZG,2023,5.22116801324002
AGO,Angola,FP.CPI.TOTL.ZG,2020,22.271539247051
AGO,Angola,FP.CPI.TOTL.ZG,2021,25.7542948841891
AGO,Angola,FP.CPI.TOTL.ZG,2022,21.3552901320822
AGO,Angola,FP.CPI.TOTL.ZG,2023,13.6441017767715
ALB,Albania,FP.CPI.TOTL.ZG,2020,1.62088661717021
ALB,Albania,FP.CPI.TOTL.ZG,2021,2.04147163139545
ALB,Albania,FP.CPI.TOTL.ZG,2022,6.72520271530059
ALB,Albania,FP.CPI.TOTL.ZG,2023,4.75834555150038
ARB,Arab World,FP.CPI.TOTL.ZG,2020,1.44703656998741
ARB,Arab World,FP.CPI.TOTL.ZG,2021,2.86833027751015
ARB,Arab World,FP.CPI.TOTL.ZG,2022,5.17222088647606
ARB,Arab World,FP.CPI.TOTL.ZG,2023,4.00025877060152
ARE,United Arab Emirates,FP.CPI.TOTL.ZG,2020,-2.07940317940944
ARE,United Arab Emirates,FP.CPI.TOTL.ZG,2021,0.179935336174431
ARE,United Arab Emirates,FP.CPI.TOTL.ZG,2022,5.29122604376849
ARE,United Arab Emirates,FP.CPI.TOTL.ZG,2023,1.62670837213248
ARG,Argentina,FP.CPI.TOTL.ZG,2020,42.0150947376509
ARG,Argentina,FP.CPI.TOTL.ZG,2021,48.4093786255199
ARG,Argentina,FP.CPI.TOTL.ZG,2022,72.430757531824
ARG,Argentina,FP.CPI.TOTL.ZG,2023,133.488935594175
ARM,Armenia,FP.CPI.TOTL.ZG,2020,1.21143577838465
ARM,Armenia,FP.CPI.TOTL.ZG,2021,7.18483629443371
ARM,Armenia,FP.CPI.TOTL.ZG,2022,8.64091108973855
ARM,Armenia,FP.CPI.TOTL.ZG,2023,1.98041877615554
ATG,Antigua and Barbuda,FP.CPI.TOTL.ZG,2020,0.625989707046719
ATG,Antigua and Barbuda,FP.CPI.TOTL.ZG,2021,2.06299638545334
ATG,Antigua and Barbuda,FP.CPI.TOTL.ZG,2022,7.53107834634288
ATG,Antigua and Barbuda,FP.CPI.TOTL.ZG,2023,5.06713865364213
AUS,Australia,FP.CPI.TOTL.ZG,2020,0.846900734607273
AUS,Australia,FP.CPI.TOTL.ZG,2021,2.86391284709318
AUS,Australia,FP.CPI.TOTL.ZG,2022,6.59409658717841
AUS,Australia,FP.CPI.TOTL.ZG,2023,5.59701792296707
AUT,Austria,FP.CPI.TOTL.ZG,2020,1.38191063351854
AUT,Austria,FP.CPI.TOTL.ZG,2021,2.7666666666667
AUT,Austria,FP.CPI.TOTL.ZG,2022,8.54686993188458
AUT,Austria,FP.CPI.TOTL.ZG,2023,7.81413417002831
AZE,Azerbaijan,FP.CPI.TOTL.ZG,2020,2.75980947008127
AZE,Azerbaijan,FP.CPI.TOTL.ZG,2021,6.65029912708779
AZE,Azerbaijan,FP.CPI.TOTL.ZG,2022,13.8522590144267
AZE,Azerbaijan,FP.CPI.TOTL.ZG,2023,8.78543049849081
BDI,Burundi,FP.CPI.TOTL.ZG,2020,7.32110643415521
BDI,Burundi,FP.CPI.TOTL.ZG,2021,8.40453845076341
BDI,Burundi,FP.CPI.TOTL.ZG,2022,18.8008786664945
BDI,Burundi,FP.CPI.TOTL.ZG,2023,26.9414835762453
BEL,Belgium,FP.CPI.TOTL.ZG,2020,0.740791812220344
BEL,Belgium,FP.CPI.TOTL.ZG,2021,2.44024851144084
BEL,Belgium,FP.CPI.TOTL.ZG,2022,9.597511728725
BEL,Belgium,FP.CPI.TOTL.ZG,2023,4.04901077613941
BEN,Benin,FP.CPI.TOTL.ZG,2020,3.02272119663759
BEN,Benin,FP.CPI.TOTL.ZG,2021,1.73353962694036
BEN,Benin,FP.CPI.TOTL.ZG,2022,1.35077863583527
BEN,Benin,FP.CPI.TOTL.ZG,2023,2.73870078406075
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2020,1.88470066518847
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2021,3.65326761825509
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2022,14.2902354303358
BFA,Burkina Faso,FP.CPI.TOTL.ZG,2023,0.742910428668918
BGD,Bangladesh,FP.CPI.TOTL.ZG,2020,5.69107474746211
BGD,Bangladesh,FP.CPI.TOTL.ZG,2021,5.54565430773473
BGD,Bangladesh,FP.CPI.TOTL.ZG,2022,7.69695437176898
BGD,Bangladesh,FP.CPI.TOTL.ZG,2023,9.8835030377921
BGR,Bulgaria,FP.CPI.TOTL.ZG,2020,1.67244096855756
BGR,Bulgaria,FP.CPI.TOTL.ZG,2021,3.29774435299506
BGR,Bulgaria,FP.CPI.TOTL.ZG,2022,15.3252589264367
BGR,Bulgaria,FP.CPI.TOTL.ZG,2023,9.44284140088564
BHR,Bahrain,FP.CPI.TOTL.ZG,2020,-2.31770629331379
BHR,Bahrain,FP.CPI.TOTL.ZG,2021,-0.60631938514085
BHR,Bahrain,FP.CPI.TOTL.ZG,2022,3.62574104304482
BHR,Bahrain,FP.CPI.TOTL.ZG,2023,0.0746206782192256
BHS,"Bahamas, The",FP.CPI.TOTL.ZG,2020,0.0385210980054558
BHS,"Bahamas, The",FP.CPI.TOTL.ZG,2021,2.90491262928478
BHS,"Bahamas, The",FP.CPI.TOTL.ZG,2022,5.60540633583044
BHS,"Bahamas, The",FP.CPI.TOTL.ZG,2023,3.05291578969743
BIH,Bosnia and Herzegovina,FP.CPI.TOTL.ZG,2020,-1.0512960076349
BIH,Bosnia and Herzegovina,FP.CPI.TOTL.ZG,2021,1.98163900587622
BIH,Bosnia and Herzegovina,FP.CPI.TOTL.ZG,2022,14.0208440826771
BIH,Bosnia and Herzegovina,FP.CPI.TOTL.ZG,2023,6.1059011284828
BLR,Belarus,FP.CPI.TOTL.ZG,2020,5.54814357456519
BLR,Belarus,FP.CPI.TOTL.ZG,2021,9.46028389623099
BLR,Belarus,FP.CPI.TOTL.ZG,2022,15.209675274081
BLR,Belarus,FP.CPI.TOTL.ZG,2023,5.0005990309131
