iso3,country,year,area_ha,burned_ha,burned_pct
ALB,Albania,2025,2873542.76029,72879,2.53621
ARE,United Arab Emirates,2025,7119678.41511,215,0.00302
ARG,Argentina,2025,278009660.97291,2628875,0.94561
ARM,Armenia,2025,2969016.34801,24143,0.81316
AUS,Australia,2025,768803974.39253,35690266,4.64231
AUT,Austria,2025,8385823.85308,1045,0.01246
AZE,Azerbaijan,2025,8623547.86577,34078,0.39517
BEL,Belgium,2025,3070746.59355,732,0.02384
BEN,Benin,2025,11542319.027,627018,5.43234
BFA,Burkina Faso,2025,27341749.0771,1734540,6.34392
BGD,Bangladesh,2025,13938444.61254,153809,1.10349
BGR,Bulgaria,2025,11158767.11777,26668,0.23899
BHR,Bahrain,2025,71512.54824,0,0.0
BIH,Bosnia and Herzegovina,2025,5106885.31167,31178,0.61051
BOL,Bolivia,2025,108339299.2114,2798557,2.58314
BRA,Brazil,2025,850036547.48146,16361345,1.92478
BWA,Botswana,2025,57787082.30329,825994,1.42937
CAN,Canada,2025,995519376.07453,7366132,0.73993
CHE,Switzerland,2025,4124571.17492,0,0.0
CHL,Chile,2025,75758031.13135,271955,0.35898
CHN,China,2025,938225139.90048,2959179,0.3154
CIV,Côte d'Ivoire,2025,32165807.2069,737251,2.29203
CMR,Cameroon,2025,46604003.76799,2789824,5.98623
COD,Democratic Republic of the Congo,2025,232913005.72157,30928546,13.27901
COG,Republic of Congo,2025,34173218.70767,1260535,3.68866
COL,Colombia,2025,113675882.14387,1244482,1.09476
COM,Comoros,2025,167314.9993,388,0.2319
CRI,Costa Rica,2025,5117680.31989,18446,0.36044
CYP,Cyprus,2025,571965.58071,3927,0.68658
CZE,Czech Republic,2025,7883578.54197,352,0.00446
DEU,Germany,2025,35783935.11344,10595,0.02961
DNK,Denmark,2025,4314484.68652,1192,0.02763
DOM,Dominican Republic,2025,4809209.2339,32338,0.67242
DZA,Algeria,2025,230804982.33291,38928,0.01687
ECU,Ecuador,2025,25611561.92928,132793,0.51849
EGY,Egypt,2025,98376418.46811,4681,0.00476
ESP,Spain,2025,50604375.85736,397253,0.78502
EST,Estonia,2025,4548988.7328,0,0.0
ETH,Ethiopia,2025,112952077.87818,3224819,2.85503
FIN,Finland,2025,33694010.18694,573,0.0017
FRA,France,2025,54951621.88476,28288,0.05148
GAB,Gabon,2025,26454983.62718,158728,0.59999
GBR,United Kingdom,2025,24548583.99476,43629,0.17773
GEO,Georgia,2025,6984461.12329,43242,0.61912
GHA,Ghana,2025,23832427.12126,2175729,9.12928
GIN,Guinea,2025,24481617.40126,3145394,12.84798
GMB,Gambia,2025,1067050.52354,87889,8.23663
GRC,Greece,2025,13257480.22235,42189,0.31823
GTM,Guatemala,2025,10915281.02964,192690,1.76532
HKG,Hong Kong,2025,112928.00008,886,0.78457
HND,Honduras,2025,11228974.10652,132464,1.17966
HRV,Croatia,2025,5707857.5738,3132,0.05487
HUN,Hungary,2025,9305287.2538,3400,0.03654
IDN,Indonesia,2025,189024478.60327,793401,0.41973
IND,India,2025,315280002.90135,4687642,1.48682
IRL,Ireland,2025,7036676.63335,6543,0.09298
IRQ,Iraq,2025,44514841.65522,211318,0.47471
ISL,Iceland,2025,10222449.4221,3173,0.03104
ISR,Israel,2025,2215865.05754,1188,0.05361
ITA,Italy,2025,30075506.32792,128023,0.42567
JAM,Jamaica,2025,1100003.39403,2276,0.20691
JOR,Jordan,2025,8911185.17567,168,0.00189
JPN,Japan,2025,37246810.42762,14921,0.04006
KAZ,Kazakhstan,2025,273053625.57315,612387,0.22427
KEN,Kenya,2025,58598375.95048,268797,0.45871
KGZ,Kyrgyzstan,2025,19864934.94146,6936,0.03492
KHM,Cambodia,2025,18135961.96747,1599487,8.81942
KOR,South Korea,2025,10022923.0029,69761,0.69601
KWT,Kuwait,2025,1738874.86002,0,0.0
LAO,Laos,2025,23000163.20949,1969121,8.56133
LBN,Lebanon,2025,1023805.80353,1480,0.14456
LBR,Liberia,2025,9591808.84153,323316,3.37075
LBY,Libya,2025,161605424.76125,1371,0.00085
LKA,Sri Lanka,2025,6583740.26474,18285,0.27773
LSO,Lesotho,2025,3054527.49315,4157,0.13609
LTU,Lithuania,2025,6501683.98737,328,0.00504
LUX,Luxembourg,2025,258155.42899,0,0.0
LVA,Latvia,2025,6471010.19519,0,0.0
MAR,Morocco,2025,41347360.42447,5652,0.01367
MDA,Moldova,2025,3390786.9003,2271,0.06698
MDG,Madagascar,2025,59144636.55013,2644132,4.47062
MEX,Mexico,2025,195202320.34764,2485892,1.2735
MKD,North Macedonia,2025,2482511.06083,31914,1.28555
MLI,Mali,2025,125119407.28399,3423602,2.73627
MLT,Malta,2025,32336.77697,0,0.0
MMR,Myanmar,2025,66929740.54793,4742878,7.08635
MNE,Montenegro,2025,1333532.97357,27158,2.03655
MNG,Mongolia,2025,156625024.13014,142101,0.09073
MOZ,Mozambique,2025,78729703.29044,11515537,14.62667
MRT,Mauritania,2025,104117405.22219,128079,0.12301
MUS,Mauritius,2025,202740.99232,0,0.0
MWI,Malawi,2025,11802870.99782,489643,4.14851
MYS,Malaysia,2025,32938342.20115,37702,0.11446
NAM,Namibia,2025,82386293.59228,828871,1.00608
NER,Niger,2025,118367073.2184,429269,0.36266
NGA,Nigeria,2025,90841013.60184,4862238,5.35247
NLD,Netherlands,2025,3766581.17759,0,0.0
NOR,Norway,2025,32512296.8608,862,0.00265
NPL,Nepal,2025,14766263.54653,188610,1.2773
NZL,New Zealand,2025,26870943.99071,28868,0.10743
OMN,Oman,2025,30932513.18988,197,0.00064
PAK,Pakistan,2025,87417713.75568,217954,0.24932
PAN,Panama,2025,7510388.08361,14895,0.19833
PER,Peru,2025,129281649.51712,368521,0.28505
PHL,Philippines,2025,29585680.87167,59816,0.20218
POL,Poland,2025,31240006.00652,1571,0.00503
PRT,Portugal,2025,9187803.31622,211551,2.30252
PRY,Paraguay,2025,39958591.79403,1242341,3.10907
PSE,Palestina,2025,621996.14181,925,0.14871
ROU,Romania,2025,23833860.14458,84400,0.35412
RUS,Russia,2025,1692582282.02894,6982004,0.41251
SAU,Saudi Arabia,2025,191619240.72713,13179,0.00688
SEN,Senegal,2025,19688970.52122,1726633,8.76954
SGP,Singapore,2025,69702.46918,0,0.0
SLE,Sierra Leone,2025,7260113.9173,1132891,15.60431
SLV,El Salvador,2025,2042274.75703,10745,0.52613
SOM,Somalia,2025,63353637.31753,9024,0.01424
SRB,Serbia,2025,7823164.38409,28402,0.36305
SVK,Slovakia,2025,4909927.05105,599,0.0122
SVN,Slovenia,2025,1998091.29901,190,0.00951
SWE,Sweden,2025,45004727.45039,634,0.00141
TCD,Chad,2025,126996302.12779,3249677,2.55888
TGO,Togo,2025,5699532.49148,276760,4.85584
THA,Thailand,2025,51405455.9453,1546618,3.00867
TJK,Tajikistan,2025,14211321.72723,4662,0.0328
TUN,Tunisia,2025,15486357.96252,7897,0.05099
TUR,Turkey,2025,78070435.94814,204833,0.26237
TWN,Taiwan,2025,3640633.59662,233,0.0064
TZA,Tanzania,2025,94057605.43297,6232131,6.62587
UGA,Uganda,2025,24144006.82072,1152165,4.77205
UKR,Ukraine,2025,60136264.36984,448378,0.7456
URY,Uruguay,2025,17746563.3949,19593,0.1104
USA,United States,2025,947301496.74694,3240098,0.34203
UZB,Uzbekistan,2025,44755552.4695,40110,0.08962
VEN,Venezuela,2025,91249271.87823,3346976,3.66795
VNM,Vietnam,2025,32927630.64093,248460,0.75456
ZAF,South Africa,2025,121970907.71969,1763537,1.44587
ZMB,Zambia,2025,75049044.83896,14382541,19.16419
ZWE,Zimbabwe,2025,39068069.68221,1020932,2.61321
