iso3,country,indicator,year,value
AFE,Africa Eastern and Southern,EN.ATM.PM25.MC.M3,2023,25.2834028964264
AFG,Afghanistan,EN.ATM.PM25.MC.M3,2023,37.9483109911724
AFW,Africa Western and Central,EN.ATM.PM25.MC.M3,2023,50.4240139947409
AGO,Angola,EN.ATM.PM25.MC.M3,2023,19.9075690536367
ALB,Albania,EN.ATM.PM25.MC.M3,2023,15.5141032036885
AND,Andorra,EN.ATM.PM25.MC.M3,2023,8.88302187970813
ARB,Arab World,EN.ATM.PM25.MC.M3,2023,38.9233143832018
ARE,United Arab Emirates,EN.ATM.PM25.MC.M3,2023,57.1867315267375
ARG,Argentina,EN.ATM.PM25.MC.M3,2023,14.3465949932455
ARM,Armenia,EN.ATM.PM25.MC.M3,2023,28.5532304553511
ASM,American Samoa,EN.ATM.PM25.MC.M3,2023,4.32593683167305
ATG,Antigua and Barbuda,EN.ATM.PM25.MC.M3,2023,8.4161129524253
AUS,Australia,EN.ATM.PM25.MC.M3,2023,6.41473930057816
AUT,Austria,EN.ATM.PM25.MC.M3,2023,10.0337620235066
AZE,Azerbaijan,EN.ATM.PM25.MC.M3,2023,23.7138875571912
BDI,Burundi,EN.ATM.PM25.MC.M3,2023,35.6918123934643
BEL,Belgium,EN.ATM.PM25.MC.M3,2023,8.44918716609445
BEN,Benin,EN.ATM.PM25.MC.M3,2023,39.6565559870988
BFA,Burkina Faso,EN.ATM.PM25.MC.M3,2023,37.3246424541393
BGD,Bangladesh,EN.ATM.PM25.MC.M3,2023,69.2525518340174
BGR,Bulgaria,EN.ATM.PM25.MC.M3,2023,19.6823426211069
BHR,Bahrain,EN.ATM.PM25.MC.M3,2023,56.5654845582004
BHS,"Bahamas, The",EN.ATM.PM25.MC.M3,2023,5.28191362280586
BIH,Bosnia and Herzegovina,EN.ATM.PM25.MC.M3,2023,26.0886959562752
BLR,Belarus,EN.ATM.PM25.MC.M3,2023,11.9843753055171
BLZ,Belize,EN.ATM.PM25.MC.M3,2023,16.7646615164655
BMU,Bermuda,EN.ATM.PM25.MC.M3,2023,4.6349320219719
BOL,Bolivia,EN.ATM.PM25.MC.M3,2023,28.1374394437756
BRA,Brazil,EN.ATM.PM25.MC.M3,2023,13.3827173243912
BRB,Barbados,EN.ATM.PM25.MC.M3,2023,10.9080492042776
BRN,Brunei Darussalam,EN.ATM.PM25.MC.M3,2023,7.56922294285959
BTN,Bhutan,EN.ATM.PM25.MC.M3,2023,30.0727424508173
BWA,Botswana,EN.ATM.PM25.MC.M3,2023,13.2435593608353
