iso3,country,indicator,year,value
AGO,Angola,SI.POV.GINI,2018,51.3
AGO,Angola,SI.POV.GINI,2008,42.7
AGO,Angola,SI.POV.GINI,2000,51.9
ALB,Albania,SI.POV.GINI,2020,29.4
ALB,Albania,SI.POV.GINI,2019,30.1
ALB,Albania,SI.POV.GINI,2018,30.1
ALB,Albania,SI.POV.GINI,2017,33.1
ALB,Albania,SI.POV.GINI,2016,33.7
ALB,Albania,SI.POV.GINI,2015,32.8
ALB,Albania,SI.POV.GINI,2014,34.6
ALB,Albania,SI.POV.GINI,2012,29
ALB,Albania,SI.POV.GINI,2008,30
ALB,Albania,SI.POV.GINI,2005,30.6
ALB,Albania,SI.POV.GINI,2002,31.7
ALB,Albania,SI.POV.GINI,1996,27
ARE,United Arab Emirates,SI.POV.GINI,2018,26.4
ARE,United Arab Emirates,SI.POV.GINI,2013,32.5
ARG,Argentina,SI.POV.GINI,2020,42.7
ARG,Argentina,SI.POV.GINI,2019,43.3
ARG,Argentina,SI.POV.GINI,2018,41.7
ARG,Argentina,SI.POV.GINI,2017,41.4
ARG,Argentina,SI.POV.GINI,2016,42.3
ARG,Argentina,SI.POV.GINI,2014,41.8
ARG,Argentina,SI.POV.GINI,2013,41.1
ARG,Argentina,SI.POV.GINI,2012,41.4
ARG,Argentina,SI.POV.GINI,2011,42.7
ARG,Argentina,SI.POV.GINI,2010,43.7
ARG,Argentina,SI.POV.GINI,2009,43.8
ARG,Argentina,SI.POV.GINI,2008,45
ARG,Argentina,SI.POV.GINI,2007,46.3
ARG,Argentina,SI.POV.GINI,2006,46.4
ARG,Argentina,SI.POV.GINI,2005,47.8
ARG,Argentina,SI.POV.GINI,2004,48.5
ARG,Argentina,SI.POV.GINI,2003,51
ARG,Argentina,SI.POV.GINI,2002,53.8
ARG,Argentina,SI.POV.GINI,2001,53.3
ARG,Argentina,SI.POV.GINI,2000,51
ARG,Argentina,SI.POV.GINI,1999,49.8
ARG,Argentina,SI.POV.GINI,1998,50.7
ARG,Argentina,SI.POV.GINI,1997,49.1
ARG,Argentina,SI.POV.GINI,1996,49.5
ARG,Argentina,SI.POV.GINI,1995,48.9
ARG,Argentina,SI.POV.GINI,1994,45.9
ARG,Argentina,SI.POV.GINI,1993,44.8
ARG,Argentina,SI.POV.GINI,1992,45.5
ARG,Argentina,SI.POV.GINI,1991,46.8
ARM,Armenia,SI.POV.GINI,2020,25.1
ARM,Armenia,SI.POV.GINI,2019,30
ARM,Armenia,SI.POV.GINI,2018,34.4
ARM,Armenia,SI.POV.GINI,2017,33.6
ARM,Armenia,SI.POV.GINI,2016,32.5
ARM,Armenia,SI.POV.GINI,2015,32.4
ARM,Armenia,SI.POV.GINI,2014,31.5
ARM,Armenia,SI.POV.GINI,2013,30.6
ARM,Armenia,SI.POV.GINI,2012,29.6
ARM,Armenia,SI.POV.GINI,2011,29.4
ARM,Armenia,SI.POV.GINI,2010,30
ARM,Armenia,SI.POV.GINI,2009,28
ARM,Armenia,SI.POV.GINI,2008,29.2
ARM,Armenia,SI.POV.GINI,2007,31.2
ARM,Armenia,SI.POV.GINI,2006,29.7
ARM,Armenia,SI.POV.GINI,2005,36
ARM,Armenia,SI.POV.GINI,2004,37.5
ARM,Armenia,SI.POV.GINI,2003,33
ARM,Armenia,SI.POV.GINI,2002,34.8
ARM,Armenia,SI.POV.GINI,2001,35.4
ARM,Armenia,SI.POV.GINI,1999,36.2
ARM,Armenia,SI.POV.GINI,1996,44.4
AUS,Australia,SI.POV.GINI,2020,33.8
AUS,Australia,SI.POV.GINI,2018,34.3
AUS,Australia,SI.POV.GINI,2016,33.7
AUS,Australia,SI.POV.GINI,2014,34.4
AUS,Australia,SI.POV.GINI,2010,34.7
AUS,Australia,SI.POV.GINI,2008,35.4
