iso3,country,indicator,year,value
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,2019,1508.0315245887
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,2018,1553.61794421394
AFE,Africa Eastern and Southern,NY.GDP.PCAP.CD,2017,1529.92307995549
AFW,Africa Western and Central,NY.GDP.PCAP.CD,2019,2219.41255534667
AFW,Africa Western and Central,NY.GDP.PCAP.CD,2018,1723.11446346681
AFW,Africa Western and Central,NY.GDP.PCAP.CD,2017,1577.20349674013
ARB,Arab World,NY.GDP.PCAP.CD,2019,6683.67016877686
ARB,Arab World,NY.GDP.PCAP.CD,2018,6708.53121256784
ARB,Arab World,NY.GDP.PCAP.CD,2017,6105.92161804571
CSS,Caribbean small states,NY.GDP.PCAP.CD,2019,13995.7626558947
CSS,Caribbean small states,NY.GDP.PCAP.CD,2018,13896.5484095788
CSS,Caribbean small states,NY.GDP.PCAP.CD,2017,13708.7525902396
CEB,Central Europe and the Baltics,NY.GDP.PCAP.CD,2019,16534.9661895205
CEB,Central Europe and the Baltics,NY.GDP.PCAP.CD,2018,16227.2845341706
CEB,Central Europe and the Baltics,NY.GDP.PCAP.CD,2017,14339.8488594791
EAR,Early-demographic dividend,NY.GDP.PCAP.CD,2019,3481.75530893525
EAR,Early-demographic dividend,NY.GDP.PCAP.CD,2018,3460.86264008666
EAR,Early-demographic dividend,NY.GDP.PCAP.CD,2017,3457.91719451195
EAS,East Asia & Pacific,NY.GDP.PCAP.CD,2019,11677.4429355606
EAS,East Asia & Pacific,NY.GDP.PCAP.CD,2018,11487.5096772887
EAS,East Asia & Pacific,NY.GDP.PCAP.CD,2017,10612.7930790259
EAP,East Asia & Pacific (excluding high income),NY.GDP.PCAP.CD,2019,8286.45749748666
EAP,East Asia & Pacific (excluding high income),NY.GDP.PCAP.CD,2018,8046.00446277369
EAP,East Asia & Pacific (excluding high income),NY.GDP.PCAP.CD,2017,7241.98321346974
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.PCAP.CD,2019,8379.42503514668
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.PCAP.CD,2018,8136.42934013947
TEA,East Asia & Pacific (IDA & IBRD countries),NY.GDP.PCAP.CD,2017,7323.57112357326
EMU,Euro area,NY.GDP.PCAP.CD,2019,38679.6118917933
EMU,Euro area,NY.GDP.PCAP.CD,2018,39562.0814189751
EMU,Euro area,NY.GDP.PCAP.CD,2017,36691.2109171985
ECS,Europe & Central Asia,NY.GDP.PCAP.CD,2019,25045.1218961925
ECS,Europe & Central Asia,NY.GDP.PCAP.CD,2018,25435.6875035469
ECS,Europe & Central Asia,NY.GDP.PCAP.CD,2017,23839.7319723826
ECA,Europe & Central Asia (excluding high income),NY.GDP.PCAP.CD,2019,6036.15175345642
ECA,Europe & Central Asia (excluding high income),NY.GDP.PCAP.CD,2018,5947.15360517457
ECA,Europe & Central Asia (excluding high income),NY.GDP.PCAP.CD,2017,6129.93083517607
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.PCAP.CD,2019,9040.92665915657
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.PCAP.CD,2018,8885.56352555245
TEC,Europe & Central Asia (IDA & IBRD countries),NY.GDP.PCAP.CD,2017,8571.09823045668
EUU,European Union,NY.GDP.PCAP.CD,2019,35374.1493923083
EUU,European Union,NY.GDP.PCAP.CD,2018,36076.9018014875
EUU,European Union,NY.GDP.PCAP.CD,2017,33394.5944932308
HPC,Heavily indebted poor countries (HIPC),NY.GDP.PCAP.CD,2019,984.553372875279
