data_wave,branding,type,published,title,pdf_url,folder,status
2019,World Risk Poll 2019,core,2020,The Lloyd's Register Foundation World Risk Poll: Full report and analysis of the 2019 poll,https://www.lrfoundation.org.uk/sites/default/files/2024-11/LRF_WorldRiskReport_Book_03.03.22%20Small_0.pdf,WRP_2019/core_world_risk_poll_2019,done
2021,World Risk Poll 2021,core,2022-07,A Changed World? Perceptions and experiences of risk in the Covid age,https://www.lrfoundation.org.uk/sites/default/files/2024-06/LRF_2021_report_risk-in-the-covid-age_online_version_2.pdf,WRP_2021/core_a_changed_world,done
2021,World Risk Poll 2021,core,2022-09,A Resilient World? Understanding vulnerability in a changing climate,https://www.lrfoundation.org.uk/sites/default/files/2024-06/LRF_2021_report2-resilience_online_version.pdf,WRP_2021/core_a_resilient_world,done
2021,World Risk Poll 2021,core,2022-11,A Digital World: Perceptions of risk from AI and misuse of personal data,https://www.lrfoundation.org.uk/sites/default/files/2024-04/LRF_2021_report_a-digital-world-ai-and-personal-data_online_version_1.pdf,WRP_2021/core_a_digital_world,done
2021,World Risk Poll 2021,core,2023-01,Safe at Work? Global experiences of violence and harassment,https://www.lrfoundation.org.uk/sites/default/files/2024-06/LRF_2021_report_safe-at-work.pdf,WRP_2021/core_safe_at_work,done
2021,World Risk Poll 2021,focus_on,2023-03,Focus On: Risk and Gender,https://www.lrfoundation.org.uk/sites/default/files/2024-04/WRP2021_FocusOn_Gender_0.pdf,WRP_2021/focus_on_risk_and_gender,done
2021,World Risk Poll 2021,focus_on,2023-04,Focus On: The impact of income and migration on violence and harassment at work,https://www.lrfoundation.org.uk/sites/default/files/2024-05/WRP_FocusOn_VH%20%281%29_1%20%282%29.pdf,WRP_2021/focus_on_violence_and_harassment_income_migration,done
2021,World Risk Poll 2021,focus_on,2023-06,Focus On: Fossil fuel dependency and perceptions of climate change,https://www.lrfoundation.org.uk/sites/default/files/2024-05/WRP_FocusOn_Climate%20%281%29.pdf,WRP_2021/focus_on_fossil_fuels_and_climate_change,done
2021,World Risk Poll 2021,focus_on,2023-10,Focus On: Critical infrastructure resilience and perceptions of disaster preparedness,https://www.lrfoundation.org.uk/sites/default/files/2024-05/Focus-On-Resilience.pdf,WRP_2021/focus_on_critical_infrastructure,done
2023,World Risk Poll 2024,core,2024-06,World Risk Poll 2024 Report: Resilience in a Changing World,https://www.lrfoundation.org.uk/sites/default/files/2024-06/World%20Risk%20Poll%20Report%202024%20Resilience%20in%20a%20Changing%20World_1.pdf,WRP_2023/core_resilience_in_a_changing_world,done
2023,World Risk Poll 2024,core,2024-09,A World of Waste: Risks and opportunities in household waste management,https://www.lrfoundation.org.uk/sites/default/files/2024-10/WRP24%20-%20Waste%20Report%201_2.pdf,WRP_2023/core_a_world_of_waste,done
2023,World Risk Poll 2024,core,2024-10,Engineering Safer Workplaces: Global trends in occupational safety and health,https://www.lrfoundation.org.uk/sites/default/files/2024-10/World%20Risk%20Poll%2024%20-%20OSH%20Report%201_0.pdf,WRP_2023/core_engineering_safer_workplaces,done
2023,World Risk Poll 2024,core,2024-11,What the World Worries About: Global perceptions and experiences of risk and harm,https://www.lrfoundation.org.uk/sites/default/files/2024-11/World%20Risk%20Poll%202024%20Report%20%20-%20What%20the%20world%20worries%20about%20.pdf,WRP_2023/core_what_the_world_worries_about,done
2023,World Risk Poll 2024,focus_on,2025-06,Focus On: Risk perceptions and experiences of ocean workers,https://www.lrfoundation.org.uk/sites/default/files/2025-08/wrp-2024-focus-on-ocean-workers-updated.pdf,WRP_2023/focus_on_ocean_workers,done
2025,World Risk Poll 2026,core,2026-06,Alone Together: The hidden consensus on climate change,https://www.lrfoundation.org.uk/sites/default/files/2026-09/wrp-report-2026-the-hidden-consensus-on-climate-change.pdf,WRP_2025/core_alone_together,done
2025,World Risk Poll 2026,core,2026-06,The Quiet Hazards: How everyday risk shapes daily life,https://www.lrfoundation.org.uk/sites/default/files/2026-09/world-risk-poll-report-2026-how-everyday-risk-shapes-daily-life.pdf,WRP_2025/core_the_quiet_hazards,done
